event_type	res_a	res_x	match_id	tournament_id	a_id	x_id	b_id	y_id	gender	round_of
S	4	1	329372	2813	100621	120154			M	2
S	4	2	329373	2813	106814	106542			M	2
S	1	4	329374	2813	106814	110367			M	3
S	4	1	329375	2813	110367	106542			M	1
S	4	1	329376	2813	102832	113914			M	2
S	4	2	329377	2813	102832	121684			M	3
S	4	1	329378	2813	121684	113914			M	1
S	4	1	329379	2813	119565	110602			M	2
S	4	2	329380	2813	119565	114976			M	3
S	2	4	329381	2813	114976	110602			M	1
S	0	4	329382	2813	116620	121408			M	2
S	2	4	329383	2813	116620	111216			M	3
S	0	4	329384	2813	111216	121408			M	1
S	4	3	329385	2813	102943	114715			M	2
S	4	0	329386	2813	102943	107324			M	3
S	2	4	329387	2813	107324	114715			M	1
S	4	1	329388	2813	103126	119927			M	2
S	4	1	329389	2813	103126	120224			M	3
S	4	0	329390	2813	120224	119927			M	1
S	4	1	329391	2813	104314	115019			M	2
S	4	0	329392	2813	102968	115100			M	2
S	4	0	329393	2813	102968	120865			M	3
S	4	3	329394	2813	120865	115100			M	1
S	4	0	329395	2813	102697	119585			M	2
S	4	0	329396	2813	102697	116262			M	3
S	2	4	329397	2813	116262	119585			M	1
S	1	4	329398	2813	115546	114960			M	2
S	1	4	329399	2813	115546	123729			M	3
S	4	1	329400	2813	123729	114960			M	1
S	4	3	329401	2813	103070	105032			M	2
S	4	0	329402	2813	103070	114838			M	3
S	4	1	329403	2813	114838	105032			M	1
S	4	0	329404	2813	111641	110615			M	3
S	4	0	329405	2813	113931	114035			M	2
S	4	0	329406	2813	113931	114717			M	3
S	4	1	329407	2813	114717	114035			M	1
S	4	1	329408	2813	102891	113332			M	2
S	4	0	329409	2813	102891	120683			M	3
S	1	4	329410	2813	120683	113332			M	1
S	4	2	329411	2813	104795	104827			M	2
S	4	0	329412	2813	104795	118072			M	3
S	0	4	329413	2813	118072	104827			M	1
S	3	4	329414	2813	131983	103159			M	2
S	4	2	329415	2813	131983	107570			M	3
S	4	0	329416	2813	107570	103159			M	1
S	2	4	329417	2813	109140	121558			M	2
S	4	0	329418	2813	109140	118671			M	3
S	0	4	329419	2813	118671	121558			M	1
S	4	3	329420	2813	117890	119532			M	2
S	4	2	329421	2813	117890	105666			M	3
S	2	4	329422	2813	105666	119532			M	1
S	4	0	329423	2813	108574	120282			M	2
S	4	2	329424	2813	108574	113563			M	3
S	4	1	329425	2813	113563	120282			M	1
S	4	0	329426	2813	103345	124527			M	2
S	2	4	329427	2813	103345	121412			M	3
S	4	0	329428	2813	121412	124527			M	1
S	4	2	329429	2813	116853	114356			M	2
S	4	2	329430	2813	116853	116213			M	3
S	0	4	329431	2813	116213	114356			M	1
S	4	2	329432	2813	116532	111959			M	2
S	4	2	329433	2813	116532	117003			M	3
S	4	2	329434	2813	117003	111959			M	1
S	4	0	329435	2813	115396	118846			M	2
S	4	1	329436	2813	115396	111512			M	3
S	3	4	329437	2813	111512	118846			M	1
S	4	1	329438	2813	103903	113251			M	3
S	4	0	329439	2813	112436	117865			M	2
S	4	0	329440	2813	112436	104087			M	3
S	4	3	329441	2813	104087	117865			M	1
S	4	0	329442	2813	112442	105897			M	2
S	4	2	329443	2813	112442	121042			M	3
S	4	1	329444	2813	121042	105897			M	1
S	4	0	329445	2813	114718	116826			M	2
S	1	4	329446	2813	114718	115029			M	3
S	4	0	329447	2813	115029	116826			M	1
S	4	1	329448	2813	118927	112361			M	2
S	4	2	329449	2813	118927	114860			M	3
S	4	3	329450	2813	114860	112361			M	1
S	4	0	329451	2813	116612	107791			M	2
S	4	1	329452	2813	116612	118889			M	3
S	4	0	329453	2813	118889	107791			M	1
S	4	0	329454	2813	107312	112452			M	2
S	4	3	329455	2813	107312	114848			M	3
S	4	0	329456	2813	114848	112452			M	1
S	2	4	329457	2813	107445	112284			M	3
S	4	1	329458	2813	110726	109002			M	3
S	4	2	329459	2813	109459	103875			M	2
S	4	3	329460	2813	109459	104760			M	3
S	4	0	329461	2813	104760	103875			M	1
S	4	0	329462	2813	112735	112451			M	2
S	4	0	329463	2813	103107	123257			M	2
S	4	0	329464	2813	103107	117002			M	3
S	4	0	329465	2813	117002	123257			M	1
S	4	2	329466	2813	112035	121097			M	2
S	0	4	329467	2813	112035	101480			M	3
S	4	1	329468	2813	101480	121097			M	1
S	3	4	329469	2813	113243	122001			M	2
S	3	4	329470	2813	113243	105928			M	3
S	4	2	329471	2813	105928	122001			M	1
S	2	4	329472	2813	105679	122044			M	2
S	4	2	329473	2813	105679	115000			M	3
S	4	3	329474	2813	115000	122044			M	1
S	4	0	329475	2813	109865	119666			M	2
S	4	1	329476	2813	109865	120947			M	3
S	4	0	329477	2813	120947	119666			M	1
S	4	3	329478	2813	113419	122067			M	2
S	4	1	329479	2813	113419	120168			M	3
