Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,105649,CHN,M,MA Long,3323,3323,0,12,2017
2,2,121404,CHN,M,FAN Zhendong,3254,3201,0,12,2017
3,3,107028,GER,M,OVTCHAROV Dimitrij,3106,3011,0,12,2017
4,0,110267,CHN,M,XU Xin,3078,2994,0,12,2017
5,4,101222,GER,M,BOLL Timo,2971,2902,0,12,2017
6,7,115910,CHN,M,LIN Gaoyuan,2806,2751,0,12,2017
7,6,106195,JPN,M,MIZUTANI Jun,2804,2789,0,12,2017
8,5,110729,JPN,M,NIWA Koki,2800,2803,0,12,2017
9,0,110553,CHN,M,ZHANG Jike,2787,2793,0,12,2017
10,13,105197,KOR,M,LEE Sangsu,2739,2635,0,12,2017
11,8,112062,FRA,M,GAUZY Simon,2707,2686,0,12,2017
12,10,111606,CHN,M,FANG Bo,2703,2662,0,12,2017
13,11,101820,TPE,M,CHUANG Chih-Yuan,2684,2657,0,12,2017
14,12,112620,HKG,M,WONG Chun Ting,2678,2640,0,12,2017
15,9,105926,JPN,M,MATSUDAIRA Kenta,2671,2666,0,12,2017
16,14,113059,CHN,M,YAN An,2662,2634,0,12,2017
17,16,123980,JPN,M,HARIMOTO Tomokazu,2630,2608,0,12,2017
18,15,108246,BLR,M,SAMSONOV Vladimir,2621,2614,0,12,2017
19,17,102841,POR,M,FREITAS Marcos,2606,2569,0,12,2017
20,42,118761,CHN,M,ZHOU Yu,2530,2356,0,12,2017
21,27,112092,NGR,M,ARUNA Quadri,2507,2457,0,12,2017
22,19,110411,JPN,M,YOSHIDA Masaki,2504,2516,0,12,2017
23,21,102761,GER,M,FILUS Ruwen,2501,2502,0,12,2017
23,27,111595,KOR,M,JEONG Sangeun,2501,2457,0,12,2017
25,21,121752,JPN,M,OSHIMA Yuya,2498,2502,0,12,2017
26,20,100696,EGY,M,ASSAR Omar,2497,2513,0,12,2017
27,27,104379,SWE,M,KARLSSON Kristian,2489,2457,0,12,2017
27,25,117113,JPN,M,YOSHIMURA Maharu,2489,2462,0,12,2017
29,23,108581,RUS,M,SHIBAEV Alexander,2486,2494,0,12,2017
30,30,108958,GER,M,STEGER Bastian,2484,2455,0,12,2017
31,18,115641,BRA,M,CALDERANO Hugo,2480,2531,0,12,2017
32,38,112409,DEN,M,GROTH Jonathan,2460,2409,0,12,2017
33,26,105136,FRA,M,LEBESSON Emmanuel,2449,2461,0,12,2017
34,34,110730,JPN,M,UEDA Jin,2438,2425,0,12,2017
35,0,104257,KOR,M,JEOUNG Youngsik,2421,2455,0,12,2017
36,39,100621,POR,M,APOLONIA Tiago,2417,2382,0,12,2017
37,31,119588,CHN,M,LIANG Jingkun,2416,2435,0,12,2017
