index	player_id	last_name	first_name	country
58	110410	YOSHIDA	Kaii	JPN
73	105937	MATTENET	Adrien	FRA
78	134379	LI	Yijie	CHN
104	101674	CHEN	Weixing	AUT
141	119543	RYUZAKI	Tonin	JPN
157	119729	FANG	Yinchi	CHN
164	109904	VRABLIK	Jiri	CZE
204	100829	BAIBULDIN	Andrei	RUS
217	107026	OVERSJO	Mattias	SWE
219	102418	DURAN	Marc	ESP
222	131726	PELACHS	Marti	ESP
232	117139	MAKHLOUF	Mehdi	TUN
233	107772	REED	Daniel	ENG
238	122776	O'YOUNG	Luc	TTO
257	132302	YANG	Shuo	CHN
264	104086	JEAN	Gregoire	FRA
268	109538	TRAN	Tuan Quynh	VIE
270	103093	GILABERT	Rodrigo	ARG
275	107506	POPOV	Kiril	BUL
278	101189	BOBILLIER	Loic	FRA
295	113974	GAUZY	Paul	FRA
297	112883	DEYANGHA	Christian	CGO
304	106059	MEROTOHUN	Monday	NGR
307	100210	AJETUNMOBI	Seun	NGR
310	124108	CHEN	Xin	CHN
312	112077	TRAN	Anthony	SWE
325	121872	BUCKO	Patrik	SVK
327	116848	FRANZEN	Alexander	SWE
331	105295	LEWANDOWSKI	Tomasz	POL
333	132293	KARMAZIN	Yaniv	ISR
334	101756	CHODORSKI	Piotr	POL
349	108999	STORF	Martin	AUT
350	115574	LIU	Tengteng	NZL
351	102890	GABROVSKI	Petko	BUL
366	105293	LIEVSHYN	Vitaliy	UKR
369	113478	ONAOLAPO	Ojo	NGR
370	123272	BOTH	Levente	HUN
372	103842	IBRAHIM	Muhd Shakirin	MAS
374	114281	WANG	Timothy	USA
380	118882	NIELSEN	Claus	DEN
381	122301	CHOU	Te-Hao	TPE
383	116176	KIM	Seokho	KOR
386	109661	URIBE	Salvador	MEX
391	118716	MOREGARD	Malte	SWE
394	131418	MIASTOWSKI	Maksymilian	POL
399	119677	KIM	Doyub	KOR
417	104734	KOBES	Kristian	SVK
418	112195	MUHLBACH	Hermann	LUX
419	102753	FILATOV	Vasilij	RUS
425	111026	SCHAFFER	Daniel	HUN
427	110187	WONGSIRI	Nikom	THA
428	113342	FIGEL	Jakub	SVK
434	102243	DIDUKH	Viktor	UKR
436	131913	LAW	Jabez Mason	SGP
439	131990	SOKOLOWSKI	Lukasz	POL
445	122106	MIKOLASIK	Michal	CZE
448	124413	FUENTES	Diego	MEX
450	114476	BENES	Michal	CZE
451	131063	MARTIN	Cornelius	GER
452	121852	BILAS	Arthur	BEL
461	118006	CORDERO	Camilo	GUA
462	101383	BUKIN	Andrey	RUS
465	114068	MUNTEANU	Lucian	ROU
467	124524	MIJATOVIC	Daniel	CRO
471	123224	PEDNEKAR	Shaurya Tushar	IND
472	131996	TOMA	Darius	ROU
475	133899	SONG	Zhuoheng	CHN
485	131858	ESCOBAR	Bryan	ECU
491	120040	CHAMPOD	Nicolas	SUI
493	119029	BEN MEKKI	Nadim	TUN
498	133318	WANG	Chenxi	AZE
506	122440	PIMRAT	Thirawat	THA
513	131780	JIMENEZ	Jorge	ESP
514	110912	RIVERA	Mauricio	COL
517	122221	ORTIZ	Sebastian	PER
519	119381	HERSKIND	Micki	DEN
520	131147	PENG	Feilong	CHN
521	122578	SEPULVEDA	Diego	CHI
525	134583	HAMADA	Kazuki	JPN
527	115049	CERZA	Matteo	ITA
536	131441	HAMACHE	Bilal	FRA
541	121689	LLORCA	Damien	FRA
547	117046	ONG	Jay	AUS
550	113501	DAHER	Juan	ARG
555	102682	FARLEY	Trevor	BAR
560	122096	ZHENG	Dorian	FRA
561	133777	GONZALEZ	Camilo	COL
572	123344	TULGUUR	Chinzorig	MGL
581	116247	PINTEA	James	CAN
582	102727	FERNANDEZ	Marcelo	CHI
584	118875	BRESSAN	Luca	ITA
595	111779	CILLIS	Javier	ARG
598	133774	SILVA	Diogo	BRA
600	109629	UDRA	Manfredas	LTU
602	132723	HSU	Po-Hsuan	TPE
607	123034	ALMEIDA	Siddharta	BRA
608	111217	SERETTI	Damiano	ITA
614	117816	WONG	Ka Ho	HKG
616	131878	VIRMANI	Parth	IND
617	134246	ABBASI	Amirreza	IRI
618	120307	RASMUSSEN	Kasper	DEN
621	121870	PEKO	Stefan	SVK
628	120207	FERNANDEZ	Favert	COL
634	115077	PERAL	Xavier	ESP
635	123648	ALCAYDE	Guillaume	FRA
640	131773	PETER	Alessio	ANG
641	120256	XU	Jannik	GER
647	114146	TAN	Kiat Yi Kerry	SGP
653	122959	AN	Junhee	KOR
655	131344	KOUCHLY	Guy	ISR
657	120309	BOGIE	Roel	NED
660	122736	CHEUNG	Yin To	HKG
663	112293	LIBENE	Toomas	EST
665	132773	JAIN	Anukram	IND
666	116897	KOURILTCHIK	Nikita	BLR
674	123844	MERCKX	Jasper	BEL
678	123029	TOMOIKE	Eduardo	BRA
681	133662	KARALI	Naim	ALG
682	120019	SAADAOUI	Mootezz	TUN
683	123468	LUQUE	Cesar	PER
686	117120	ROOSE	Pontus	SWE
689	121624	USHISIMA	Gustavo	BRA
692	113625	WOLF	Christian	AUT
693	120041	ANDREEV	Yavor	BUL
695	108884	SOTO	Kevin	GUA
696	120073	BALABAN	Ademir	LUX
701	117871	VENDE	Gael	SUI
704	114938	TAY	Jit Kiat	SGP
705	122749	TSANG	Tsz Tsun	HKG
709	131784	CAVAILLE	Jules	FRA
710	121611	ANJOS	Luiz	BRA
717	112907	GOTHE	Shiva	NEP
718	120908	WONG	Chun Cheun	MAS
719	131852	MARTINEZ	Andres	CHI
720	122020	BUBEN	Vlastimil	CZE
724	116245	LU	Yen-Chun	CAN
728	134794	TSUKIDATE	Shunsuke	JPN
733	134582	LEETE	Matthew	ENG
734	102213	DEY	Jeremy	NCL
738	123773	FUENTES	Leandro	ARG
739	132935	FENYVESI	Florian	SRB
740	134793	KAWAKAMI	Naoya	JPN
749	133695	KOBAYASHI	Hiromu	JPN
758	118541	DUFFY	Jake	AUS
759	133379	SABHI	Myshaal	FRA
760	123515	OPREA	Dragos Florin	ROU
762	113320	IVANOV	Daniel	BUL
765	133656	DA SILVA	Samuel	POR
768	132775	RINDERER	Daniel	GER
769	134881	HINGORANI	Ishaan	IND
773	133811	TONKOVIC	Markus	SVK
774	120938	SHOTELERSUK	Varote	THA
777	123219	AMBEKAR	Sanish	IND
781	134395	WETZEL	Felix	AUT
785	122606	KARLSSON	Filip	SWE
788	123522	MIKKELSEN	Rasmus	DEN
795	133367	RAKOTOARIMANANA	Fabio	FRA
801	114750	RAO	Roger	NZL
803	122008	HARRISON	Adam	ENG
805	124175	LAU	Chun Kit	HKG
806	118023	CABRERA	Adrian	ECU
810	124589	HIRUTA	Ryu	JPN
811	113167	EBADI POUR	Ahmad Reza	IRI
812	113583	O'CONNELL	Daniel	WAL
817	108189	SALAZAR	Jonathan	COL
822	122080	GUALDI	Matteo	ITA
823	131065	HENNIG	Sven	GER
827	115693	TSAO	Erny	AUS
829	118950	LOY	Meng Hean Darren	SGP
832	123207	MIHAILOVIC	Nikola	BIH
834	118011	GASIO	Guillermo	MEX
837	121939	SHAMS	Hamid	IRI
838	131289	LINEV	Pavel	RUS
839	121717	NILSSON	Melker	SWE
846	122423	HUANG	Edison	CAN
847	118725	NGWE NIKENG	Emmanuel	CMR
849	132786	JEHO	Himnakulhpuingheta	IND
851	134628	KWAN	Wing	ENG
853	122186	HAMDOUN	Nathael	TUN
854	117533	TOLOSA	Santiago	ARG
855	122187	ABDELWAHAB	Marwan	EGY
856	134353	ANDERSSON	David	SWE
857	100869	BALDACCHINO	Edward	MLT
858	120114	PRIME	Sebastien	FRA
859	117062	WHEELER	Christopher	SCO
870	116227	TEO	Yi Sen Bryan	SGP
871	132227	LUSHNIKOV	Volodymyr	UKR
872	120262	ANCA	Vladimir	ROU
873	118845	DAVIDOV	Ronel	ISR
874	121993	RAHMOU	Abdelrahman	EGY
875	134333	HOLLO	Mike	GER
880	121178	ALGUETTI	Gal	USA
885	119248	NARITA	Henrique	BRA
887	122703	DANIELSSON	Oskar	SWE
888	131154	MUN	Jin Song	PRK
890	131934	WONG	Hon Lam	HKG
894	131502	KHAYYAM	Radin	IRI
895	114072	MAIN	Calum	SCO
898	131340	AZZAM	Mohamed	EGY
899	116341	TITOLO	Franco	ARG
902	116253	YEUNG	Klement	CAN
907	121493	DING	Billy Xu	USA
908	134863	WANG	Yi-Fan	TPE
910	120315	ALAMRI	Abdulaziz	KSA
912	123665	JACQUES	Quentin	BEL
914	124571	HO	Jui-Lin	TPE
916	121512	CHOI	Cheuk Kwan	HKG
917	133241	RYZHOV	Sergey	RUS
920	120126	GEORGSSON	Vilmer	SWE
922	123020	ZAMFIR	Mihai	ROU
924	118934	WONG	Ho Hin	HKG
926	124176	CHAN	Yee Shun	HKG
932	113570	CHENG	Zhiyang	NZL
936	122993	VIDACEK	Marko	CRO
942	121691	DAMIANIS	Efstratios	GRE
944	120869	CANO	Rodrigo	ESP
945	121992	ELBORHAMY	Ahmed	EGY
946	120668	AMIRI	Arya	IRI
952	132187	CAYETANO	Mauricio	MEX
955	131823	CLARK	Joseph	ENG
957	116351	KACOWICZ	Santiago	URU
958	133206	MAKAROV	Vladislav	RUS
960	133454	DE VINCENZO	Matias	ARG
962	117451	KAPITANOV	Nikolay	BUL
963	120570	HENIN	Valentin	BLR
964	106136	MAKOLLI	Milot	KOS
965	104452	KAYODE	Bode	NGR
966	123525	FARFEL	Gal	ISR
967	131297	ANOKHIN	Ilia	RUS
968	111135	VOITSEKHAU	Tsimur	BLR
969	116860	DOUIFI	Yaniss	ALG
971	122963	HERNANDEZ	Carlos	CUB
972	132789	MOKREJS	Jan	CZE
975	132805	NEMACIUC	Mihai	ROU
977	119140	VERHUNOU	Raman	BLR
980	114855	ZELJKO	Dominik	CRO
985	122744	CHU	Pak Chung	HKG
986	123637	BASSAN	Umut Emre	TUR
988	123273	TEREK	Norbert	HUN
991	111383	EIHMANS	Gints	LAT
992	123276	POP	Mihai	ROU
993	134186	MALIK	Yashansh	IND
999	116014	HSU	Nathan	USA
1002	120637	DENDAN	Abdelrahman	EGY
1003	131336	ELSHAWA	Ziad	EGY
1004	131666	CHATZILYGEROUDIS	Gerasimos	GRE
1005	132102	VELARDE	Matias	ARG
1006	132977	SIMONSEN	Daniel	DEN
1008	121225	LIPAN	Teodor	ROU
1009	131665	DAMIANIS	Ioannis	GRE
1012	111640	MESHREF	Ahmed	EGY
1013	132039	ABDELWAHAB	Youssef	EGY
1014	123558	BERGSTROM	Emil	SWE
1017	132806	VRABIE	George	ROU
1018	134690	GRUJIC	Nikola	SRB
1023	123526	ITSHAK	Ziv	ISR
1024	132904	DOYCHEV	Iliyan	BUL
1025	133827	LIN	Yen-Chun	TPE
1028	131374	ATTIA	Ammar	EGY
1029	132914	STAMOU	Konstantinos	GRE
1030	134977	YUNCHYK	Valentyn	UKR
1031	131924	CHO	Kijeong	KOR
1033	110071	WELLS	Chris	LCA
1035	133022	JANKOWSKI	Jakub	POL
1036	123213	JOVICIC	Matija	SRB
1037	123421	BESSA	David	POR
1041	115186	LORENZOTTI	Gonzalo	URU
1043	116747	LOTFOLLAH NASABI	Matin	IRI
1044	132032	KHALED	Islam	EGY
1046	122735	LEE	Pak Ho	HKG
1053	116755	LIM	Zheng Jie Edric	SGP
1054	123312	ZHAO	Yanglun	NZL
1055	118564	HOUGHTON	Benjamin	AUS
1058	123668	CERNOTA	Filip	CZE
1059	132221	BOGNAR	Bence	SRB
1060	123246	RADOI	Marius	ROU
1067	124167	CHANPEN	Chetthanabodi	THA
1068	131678	SILVA	Joao	POR
1072	132131	GAO	Shentong	CHN
1073	120576	KACERAUSKAS	Agnius	LTU
1076	133019	WALSH	Ethan	ENG
1077	131683	CAPPUCCIO	Marco	ITA
1078	132944	STOSIC	Ognjen	SRB
1080	131096	OCSAI	Mate	HUN
1083	135105	HEDLUND	Oskar	SWE
1084	123290	PRUSA	David	CZE
1085	123339	MOLNAR	David	HUN
1086	118952	TAY	Ming Han Maxxe	SGP
1088	117202	ROOPNARINE	Arun	TTO
1090	121855	TRINK	Michael	AUT
1091	132182	CHUNG	Benny	ARU
1092	119825	WALDSZAN	Matias	ARG
1093	131672	MUJICIC	Emir	BIH
1094	116571	PHATHAPHONE	Thavisack	LAO
1096	122138	FATHY	Mahmoud	EGY
1097	117453	YANEV	Viktor	BUL
1101	133301	STEFANOV	Dimitar	BUL
1102	115802	KOSTADINOV	David	BUL
1103	131883	FERNANDEZ	Adrian	ESP
1105	116710	ALMOHAISENI	Abdulla	UAE
1106	132807	COKIC	Aleksandar	SRB
1107	122866	JIANG	Kenny	CAN
1108	123509	SWAIFY	Omar	EGY
1109	123425	CORREIA	Ricardo	POR
1111	123382	SADIGOV	Sadikh	AZE
1113	123050	REHO	Rene	SVK
1116	122188	ELHERAZY	Gawad	EGY
1120	133496	ALVARADO	Francisco	CHI
1122	100039	AGUIDA	Abderrafiq	MAR
1124	121677	BEKIR	Denis	BUL
1129	123656	CICCHITTI	Alessandro	ITA
1131	115137	SEPULVEDA	Gustavo	CHI
1134	132940	MARINKOVIC	Milos	SRB
1135	134227	DILAS	Nemanja	SRB
1138	133516	ABDELGHANY	Mohamed	EGY
1140	123510	EHAB	Youssef	EGY
1142	123297	DIKO	Dalibor	SVK
1144	122986	ZOVKO	Lovro	CRO
1145	134149	TOMICA	Andrei	ROU
1146	100343	REMMAL	Mostafa	MAR
1148	131061	PINDURA	Tobias	SVK
1150	131430	HANSEN	Jonathan	DEN
1151	132062	FAROUK	Mazen	EGY
1154	134341	VYBIRAL	Filip	CZE
1156	122943	WANG	Jack	USA
1157	131078	CYPRICH	Radovan	SVK
1158	120793	GUKHOOL	Wasiim	MRI
1160	131381	SMITH	James	ENG
1161	124144	FRELIH	Aljaz	SLO
1162	132042	ELSAFTY	Omar	EGY
1163	131199	CEMIRTANS	Andrejs	LAT
1166	134173	ERJAVEC	Nejc	SLO
1168	123653	SOFIA	Simone	ITA
1169	133843	KERAENEN	Linus	SWE
1173	132035	NADER	Marwan	EGY
1174	123893	POSTUDOR	Bodgan	ROU
1175	131595	STACH	Matej	CZE
1176	132376	GOTHERSTROM	Richard	SWE
1177	132010	PLOG	Jason	USA
1179	124553	WAHID	Habibie	INA
1185	124166	CHANPEN	Chetthanathip	THA
1188	132031	ASHRAF	Moamen	EGY
1190	131339	SAMEH	Mohamed	EGY
1191	122992	DRAZIC	Dominik	CRO
1192	131337	ZARAD	Karim	EGY
1193	123517	ELMAHDY	Ahmed	EGY
1194	132350	KASWAL	Hamadeh	JOR
1195	132937	JOCKOV	Jovan	SRB
1196	102648	FAISAL	Ali Sajjad	PAK
1197	134993	MIRON	Radu Andrei	ROU
1198	135471	PETROVIC	Djordje	SRB
1202	108050	ADEMAJ	Rrahman	KOS
1204	131597	SKOPAL	Dalibor	CZE
1205	116477	WANG	Roger	NZL
1206	132753	BOROVNJAK	Filip	CRO
1208	135669	FOX	Tayler	GER
1211	124593	BENKO	Akos	SRB
1212	131425	EMBORG	Mikkel	DEN
1213	122097	HOFFMANN	Tom	LUX
1214	132049	SAAD	Yehia	EGY
1215	133653	SILJEHOLM	Teodor	SWE
1216	123056	LEE	Seunghwan	KOR
1220	131362	ALLAM	Omar	EGY
1224	131089	LATE	Thomas	NOR
1225	132063	GAMAL	Marwan	EGY
1227	104523	BILLAH	Mahbub	BAN
1228	122183	ABDELAAL	Adham	EGY
1230	116448	ZAULI	Isaac	BRA
1231	133428	JEVSNIK	Jan	SLO
1232	123185	VATOV	Konstantin	BUL
1233	135396	PETEK	Bruno	CRO
1235	134170	BEKIR	Eren	BUL
1236	132827	PETROV	Martin	BUL
1237	114061	HAGERAATS	Koen	NED
1239	133688	HOLMQVIST	Jens	SWE
1240	135389	HUMAIDI	Fares	KSA
1241	135479	RAMLJAK	Toni	BIH
1243	135472	MITIC	Aleksa	SRB
1244	114043	PAVAN	Federico	ITA
1245	131722	TAULER	Norbert	ESP
1248	133332	BREZNIK	Luka	SLO
1249	134355	OROSZLAN	Richard-Lorand	ROU
1250	135480	KAMENJAS	Hamza	BIH
1252	133513	EHAB	Omar	EGY
1253	133561	SALAHELDIN	Moamen	EGY
1254	134797	WAEL	Yassin	EGY
1255	134994	BUJOR	Dragos Alexandru	ROU
1256	113798	BAYONA	Lucas	ARG
1257	133437	VEKIC	Leo	CRO
1260	132025	ZINHOM	Mostafa	EGY
1261	135475	KUROWSKI	Kamil	POL
1262	104317	KAMBEROV	Radoslav	BUL
1264	134605	OSTBLOM	Melker	SWE
1265	134646	ALMUTAIRI	Saud	KSA
1266	135464	ZAYKOV	Stoyan	BUL
1268	134571	ROSCA	Mihai	ROU
1270	123357	VALO	Rainer	EST
1271	133440	METER	Roko	CRO
1272	131334	ELSARAFY	Aly	EGY
1274	134047	HOLMQVIST	Tom	SWE
1275	134235	SENTMARTONI	Denes	SRB
1276	135463	VODENICHAROV	Ilia	BUL
1277	135593	ABDELAZIZ	Omar	EGY
1278	135594	ANANY	Mohamed	EGY
1280	132941	PAVLOVIC	Djordje	SRB
1282	132971	LAVRIC	Taj	SLO
1285	131387	PINTER	Matjaz	SLO
1287	134159	OMERZEL	Mitja	SLO
1288	131115	JOHN	Marek	SVK
1289	133654	IWARSSON	Love	SWE
1290	135578	SAHEB	Yehia	EGY
1291	132934	FALB	Hunor	SRB
1295	133935	ELSISY	Mohamed	EGY
1296	134207	ALQARNI M	Fahad Bahjan	KSA
1297	134223	LAZIC	Stefan	SRB
1298	134905	PARK	Sang-Yong	NZL
1299	135103	SJOGREN	Elias	SWE
1300	135167	AL YOUSEF	Hasan	KSA
1301	135366	OTAHAL	Borek	CZE
1302	135404	EFTIMOV	Georgi	BUL
1303	135470	PUHACA	Mladen	SRB
1304	135587	IBRAHIM	Mohamed	EGY
1305	135595	MOSTAFA	Badr	EGY
1306	135608	THABET	Ahmed	EGY
1310	123413	IGLESIAS	Anxo	ESP
