tournament_id	year	tournament_name	tournament_type	tournament_kind	organizer	matches	from	to
1550	2006	2006 - SLOVENIA Open, Velenje (SVN)	World Tour / Pro Tour	--	SLO		2006-01-18	2006-01-22
1551	2006	2006 - CROATIAN Open, Zagreb (HRV)	World Tour / Pro Tour	--	CRO	661	2006-01-24	2006-01-28
1552	2006	2006 - ITTF Junior Circuit Doha Junior and Cadet Open, Doha (QAT)	World Junior Circuit	--	QAT	188	2006-01-25	2006-01-28
1553	2006	2006 - EURO-TOP12, Copenhagen (DEN)	Other events	--	DEN		2006-02-04	2006-02-05
1554	2006	2006 - QATAR Open, Doha (QAT)	World Tour / Pro Tour	--	QAT	360	2006-02-13	2006-02-17
1555	2006	2006 - KUWAIT Open, Kuwait City (KUW)	World Tour / Pro Tour	--	KUW	282	2006-02-21	2006-02-24
1556	2006	2006 - ITTF Junior Circuit Swedish Junior and Cadet Open, Orebro (SWE)	World Junior Circuit	--	SWE	548	2006-02-22	2006-02-23
1557	2006	2006 - Asian Cup, Kobe (JPN)	Continental	--	JPN		2006-03-04	2006-03-05
1773	2006	2006 - 1st Luxembourg Table Tennis Open Championships, Kirchberg (LUX)	Other events	--	LUX		2006-03-09	2006-03-12
1559	2006	2006 - Commonwealth Games, Melbourne (AUS)	Multi sport events	--	AUS		2006-03-16	2006-03-26
1558	2006	2006 - ITTF Junior Circuit Algerian Junior and Cadet Open, Tipaza (ALG)	World Junior Circuit	--	ALG	266	2006-03-22	2006-03-24
1560	2006	2006 - Latin American Championships, Medellin (COL)	Continental	--	COL		2006-03-25	2006-03-30
1561	2006	2006 - ITTF Junior Circuit UAE Junior and Cadet Open, Al-Ain (UAE)	World Junior Circuit	--	UAE	237	2006-04-13	2006-04-14
1565	2006	2006 - World Team Table Tennis Championships, Bremen (GER)	WTTC	--	GER	2268	2006-04-24	2006-05-01
1562	2006	2006 - ITTF Junior Circuit Spanish Junior and Cadet Open, Platja d'Aro (ESP)	World Junior Circuit	--	ESP	482	2006-05-12	2006-05-14
1567	2006	2006 - North American Championship, Rochester (USA)	Continental	--	USA		2006-05-12	2006-05-14
1568	2006	2006 - North American Youth Championships Juniors, Rochester (USA)	Continental	--	USA		2006-05-12	2006-05-14
1569	2006	2006 - North American Youth Championships Cadets, Rochester (USA)	Continental	--	USA		2006-05-12	2006-05-14
1599	2006	2006 - South East Asian Championships, Singapore (SGP)	Other events	--	SGP		2006-05-24	2006-05-28
1563	2006	2006 - ITTF Junior Circuit Polish Junior and Cadet Open, Cetniewo (POL)	World Junior Circuit	--	POL	423	2006-05-31	2006-06-01
1566	2006	2006 - KOREAN Open, Jeonju (KOR)	World Tour / Pro Tour	--	KOR	266	2006-06-01	2006-06-04
1572	2006	2006 - Northern European and Nordic Championships, Reykjavik (ISL)	Other events	--	ISL		2006-06-02	2006-06-04
1570	2006	2006 - CHINESE TAIPEI Open, Taipei (TPE)	World Tour / Pro Tour	--	TPE	382	2006-06-08	2006-06-11
1571	2006	2006 - ITTF Junior Circuit Canadian Junior and Cadet Open, Edmonton (CAN)	World Junior Circuit	--	CAN	139	2006-06-10	2006-06-11
1573	2006	2006 - Volkswagen Open (China), Kunshan (CHN)	World Tour / Pro Tour	--	CHN	276	2006-06-15	2006-06-18
1574	2006	2006 - BRAZILIAN Open, Sao Paulo (BRA)	World Tour / Pro Tour	--	BRA	332	2006-06-21	2006-06-25
1575	2006	2006 - ITTF Junior Circuit Indian Junior and Cadet Open, Calcutta (IND)	World Junior Circuit	--	IND	164	2006-06-22	2006-06-24
1578	2006	2006 - Oceania Championships, Geelong (AUS)	Continental	--	AUS	104	2006-06-26	2006-07-01
1576	2006	2006 - CHILE Open, Santiago (CHI)	World Tour / Pro Tour	--	CHI	410	2006-06-28	2006-07-02
1775	2006	2006 - U.S. International Open, North Carolina (USA)	Other events	--	USA		2006-07-05	2006-07-08
1577	2006	2006 - ITTF Junior Circuit Australian Junior and Cadet Open, Geelong (AUS)	World Junior Circuit	--	AUS	245	2006-07-07	2006-07-08
1579	2006	2006 - European Youth Championships (Cadet), Sarajevo (BIH)	Continental	--	BIH		2006-07-21	2006-07-30
1580	2006	2006 - European Youth Championships (Junior), Sarajevo (BIH)	Continental	--	BIH		2006-07-21	2006-07-30
1667	2006	2006 - European Youth Championships (Junior), Sarajevo (BIH)	Continental	--	BIH		2006-07-21	2006-07-30
1581	2006	2006 - Asian Youth Championships ATTU-Cadets, Kitakyushu (JPN)	Continental	--	JPN		2006-07-25	2006-07-30
1582	2006	2006 - Asian Youth Championships ATTU-Juniors, Kitakyushu (JPN)	Continental	--	JPN		2006-07-25	2006-07-30
1587	2006	2006 - Arab Championships, Sanaa (YEM)	Other events	--	YEM		2006-08-03	2006-08-09
1583	2006	2006 - ITTF Junior Circuit El Salvador Junior and Cadet Open, San Salvador (ESA)	World Junior Circuit	--	ESA	240	2006-08-15	2006-08-16
1584	2006	2006 - ITTF Junior Circuit Funchal Junior and Cadet Open, Funchal (POR)	World Junior Circuit	--	POR	176	2006-08-23	2006-08-24
1585	2006	2006 - ITTF Junior Circuit Taiyuan Junior and Cadet Open, Taiyuan (CHN)	World Junior Circuit	--	CHN	127	2006-09-02	2006-09-04
1586	2006	2006 - SINGAPORE Open, Singapore (SGP)	World Tour / Pro Tour	--	SGP	330	2006-09-07	2006-09-10
1588	2006	2006 - Panasonic Open (China), Guangzhou (CHN)	World Tour / Pro Tour	--	CHN	363	2006-09-14	2006-09-17
1589	2006	2006 - ITTF Junior Circuit Chile Junior and Cadet Open, Vina del Mar (CHI)	World Junior Circuit	--	CHI	204	2006-09-15	2006-09-17
1590	2006	2006 - JAPAN Open, Yokohama (JPN)	World Tour / Pro Tour	--	JPN	398	2006-09-21	2006-09-24
1591	2006	2006 - Women's World Cup, Urumqi (CHN)	World Cup	--	CHN	32	2006-09-29	2006-10-01
1592	2006	2006 - SERBIAN Open, Belgrade (SRB)	World Tour / Pro Tour	--	SRB	603	2006-10-19	2006-10-22
1628	2006	2006 - ITTF WJC Finals & WCC, Vrsac (SRB)	World Junior Circuit	Finals	SRB		2006-10-24	2006-10-29
1595	2006	2006 - World Junior Circuit, Vrsac (SRB)	World Junior Circuit	--	SRB		2006-10-26	2006-10-29
1594	2006	2006 - Men's World Cup, Paris (FRA)	World Cup	--	FRA	30	2006-10-27	2006-10-29
1593	2006	2006 - RUSSIAN Open, St. Petersburg (RUS)	World Tour / Pro Tour	--	RUS	544	2006-11-01	2006-11-05
1596	2006	2006 - GERMAN Open, Bayreuth (GER)	World Tour / Pro Tour	--	GER	688	2006-11-08	2006-11-12
1598	2006	2006 - POLISH Open, Warsaw (POL)	World Tour / Pro Tour	--	POL	791	2006-11-15	2006-11-19
1597	2006	2006 - Asian Games, Doha (QAT)	Multi sport events	--	QAT		2006-11-29	2006-12-07
1601	2006	2006 - ITTF World Junior Championships, Cairo (EGY)	WJTTC	--	EGY	883	2006-12-10	2006-12-17
1600	2006	2006 - Pro Tour Grand Finals, Hong Kong (HKG)	World Tour / Pro Tour	Grand Finals	HKG	73	2006-12-15	2006-12-17
