id	eventId	documentCode	subEventType
403899	2234	TTEMTEAM--------------FNL-00010000--------	Men's Team
402897	2234	TTEWTEAM--------------FNL-00010000--------	Women's Team
402565	2234	TTEMTEAM--------------SFNL00020000--------	Men's Team
402561	2234	TTEMTEAM--------------SFNL00010000--------	Men's Team
400249	2234	TTEWTEAM--------------SFNL00010000--------	Women's Team
399875	2234	TTEWTEAM--------------SFNL00020000--------	Women's Team
397938	2234	TTEMTEAM--------------QFNL00030000--------	Men's Team
397798	2234	TTEMTEAM--------------910-00010000--------	Men's Team
395857	2234	TTEWTEAM--------------910-00010000--------	Women's Team
395640	2234	TTEMTEAM--------------912-00020000--------	Men's Team
395637	2234	TTEMTEAM--------------912-00010000--------	Men's Team
395632	2234	TTEMTEAM--------------QFNL00020000--------	Men's Team
394214	2234	TTEWTEAM--------------QFNL00020000--------	Women's Team
393150	2234	TTEWTEAM--------------912-00020000--------	Women's Team
393051	2234	TTEWTEAM--------------QFNL00030000--------	Women's Team
392286	2234	TTEWTEAM--------------912-00010000--------	Women's Team
390782	2234	TTEMTEAM--------------916-00030000--------	Men's Team
390752	2234	TTEMTEAM--------------GP0300060000--------	Men's Team
390333	2234	TTEMTEAM--------------GP0100030000--------	Men's Team
389880	2234	TTEMTEAM--------------GP0200060000--------	Men's Team
388868	2234	TTEMTEAM--------------GP0200050000--------	Men's Team
388659	2234	TTEMTEAM--------------GP0300050000--------	Men's Team
386907	2234	TTEWTEAM--------------GP0100030000--------	Women's Team
386566	2234	TTEWTEAM--------------GP0300060000--------	Women's Team
386421	2234	TTEWTEAM--------------GP0200060000--------	Women's Team
385841	2234	TTEWTEAM--------------GP0300050000--------	Women's Team
384380	2234	TTEMTEAM--------------GP0200030000--------	Men's Team
384292	2234	TTEMTEAM--------------GP0300030000--------	Men's Team
383838	2234	TTEMTEAM--------------GP0200040000--------	Men's Team
383558	2234	TTEMTEAM--------------GP0100020000--------	Men's Team
382535	2234	TTEMTEAM--------------GP0300040000--------	Men's Team
380700	2234	TTEWTEAM--------------GP0300040000--------	Women's Team
380527	2234	TTEWTEAM--------------GP0200030000--------	Women's Team
380425	2234	TTEWTEAM--------------GP0100020000--------	Women's Team
380040	2234	TTEWTEAM--------------GP0300030000--------	Women's Team
377553	2234	TTEMTEAM--------------GP0300010000--------	Men's Team
377245	2234	TTEMTEAM--------------GP0100010000--------	Men's Team
377060	2234	TTEMTEAM--------------GP0200010000--------	Men's Team
377021	2234	TTEMTEAM--------------GP0300020000--------	Men's Team
376611	2234	TTEMTEAM--------------GP0200020000--------	Men's Team
374482	2234	TTEWTEAM--------------GP0100010000--------	Women's Team
374328	2234	TTEWTEAM--------------GP0200010000--------	Women's Team
374285	2234	TTEWTEAM--------------GP0300020000--------	Women's Team
374271	2234	TTEWTEAM--------------GP0300010000--------	Women's Team
372502	2234	TTEMSINGLES-----------FNL-000100----------	Men Singles
372190	2234	TTEWSINGLES-----------FNL-000100----------	Women Singles
371820	2234	TTEMSINGLES-----------SFNL000200----------	Men Singles
371579	2234	TTEMSINGLES-----------SFNL000100----------	Men Singles
371363	2234	TTEWSINGLES-----------SFNL000200----------	Women Singles
371000	2234	TTEWSINGLES-----------SFNL000100----------	Women Singles
370776	2234	TTEMDOUBLES-----------FNL-000100----------	Men Doubles
370543	2234	TTEWDOUBLES-----------FNL-000100----------	Women Doubles
370276	2234	TTEXDOUBLES-----------FNL-000100----------	Mixed Doubles
370019	2234	TTEMDOUBLES-----------SFNL000200----------	Men Doubles
369988	2234	TTEMDOUBLES-----------SFNL000100----------	Men Doubles
369631	2234	TTEWDOUBLES-----------SFNL000100----------	Women Doubles
369608	2234	TTEWDOUBLES-----------SFNL000200----------	Women Doubles
369086	2234	TTEMSINGLES-----------QFNL000300----------	Men Singles
369000	2234	TTEMSINGLES-----------QFNL000100----------	Men Singles
368702	2234	TTEMSINGLES-----------QFNL000400----------	Men Singles
368602	2234	TTEMSINGLES-----------QFNL000200----------	Men Singles
368389	2234	TTEWSINGLES-----------QFNL000200----------	Women Singles
368006	2234	TTEWSINGLES-----------QFNL000100----------	Women Singles
