id	eventId	documentCode	messagePayload	subEventType	fullResults	extended_info	match_card
403899	2234	TTEMTEAM--------------FNL-00010000--------		Men's Team	OFFICIAL		
402897	2234	TTEWTEAM--------------FNL-00010000--------		Women's Team	OFFICIAL		
402565	2234	TTEMTEAM--------------SFNL00020000--------		Men's Team	OFFICIAL		
402561	2234	TTEMTEAM--------------SFNL00010000--------		Men's Team	OFFICIAL		
400249	2234	TTEWTEAM--------------SFNL00010000--------		Women's Team	OFFICIAL		
399875	2234	TTEWTEAM--------------SFNL00020000--------		Women's Team	OFFICIAL		
397938	2234	TTEMTEAM--------------QFNL00030000--------		Men's Team	OFFICIAL		
397798	2234	TTEMTEAM--------------910-00010000--------		Men's Team	OFFICIAL		
395857	2234	TTEWTEAM--------------910-00010000--------		Women's Team	OFFICIAL		
395640	2234	TTEMTEAM--------------912-00020000--------		Men's Team	OFFICIAL		
395637	2234	TTEMTEAM--------------912-00010000--------		Men's Team	OFFICIAL		
395632	2234	TTEMTEAM--------------QFNL00020000--------		Men's Team	OFFICIAL		
394214	2234	TTEWTEAM--------------QFNL00020000--------		Women's Team	OFFICIAL		
393150	2234	TTEWTEAM--------------912-00020000--------		Women's Team	OFFICIAL		
393051	2234	TTEWTEAM--------------QFNL00030000--------		Women's Team	OFFICIAL		
392286	2234	TTEWTEAM--------------912-00010000--------		Women's Team	OFFICIAL		
390782	2234	TTEMTEAM--------------916-00030000--------		Men's Team	OFFICIAL		
390752	2234	TTEMTEAM--------------GP0300060000--------		Men's Team	OFFICIAL		
390333	2234	TTEMTEAM--------------GP0100030000--------		Men's Team	OFFICIAL		
389880	2234	TTEMTEAM--------------GP0200060000--------		Men's Team	OFFICIAL		
388868	2234	TTEMTEAM--------------GP0200050000--------		Men's Team	OFFICIAL		
388659	2234	TTEMTEAM--------------GP0300050000--------		Men's Team	OFFICIAL		
386907	2234	TTEWTEAM--------------GP0100030000--------		Women's Team	OFFICIAL		
386566	2234	TTEWTEAM--------------GP0300060000--------		Women's Team	OFFICIAL		
386421	2234	TTEWTEAM--------------GP0200060000--------		Women's Team	OFFICIAL		
385841	2234	TTEWTEAM--------------GP0300050000--------		Women's Team	OFFICIAL		
384380	2234	TTEMTEAM--------------GP0200030000--------		Men's Team	OFFICIAL		
384292	2234	TTEMTEAM--------------GP0300030000--------		Men's Team	OFFICIAL		
383838	2234	TTEMTEAM--------------GP0200040000--------		Men's Team	OFFICIAL		
383558	2234	TTEMTEAM--------------GP0100020000--------		Men's Team	OFFICIAL		
382535	2234	TTEMTEAM--------------GP0300040000--------		Men's Team	OFFICIAL		
380700	2234	TTEWTEAM--------------GP0300040000--------		Women's Team	OFFICIAL		
380527	2234	TTEWTEAM--------------GP0200030000--------		Women's Team	OFFICIAL		
380425	2234	TTEWTEAM--------------GP0100020000--------		Women's Team	OFFICIAL		
380040	2234	TTEWTEAM--------------GP0300030000--------		Women's Team	OFFICIAL		
377553	2234	TTEMTEAM--------------GP0300010000--------		Men's Team	OFFICIAL		
377245	2234	TTEMTEAM--------------GP0100010000--------		Men's Team	OFFICIAL		
377060	2234	TTEMTEAM--------------GP0200010000--------		Men's Team	OFFICIAL		
377021	2234	TTEMTEAM--------------GP0300020000--------		Men's Team	OFFICIAL		
376611	2234	TTEMTEAM--------------GP0200020000--------		Men's Team	OFFICIAL		
374482	2234	TTEWTEAM--------------GP0100010000--------		Women's Team	OFFICIAL		
374328	2234	TTEWTEAM--------------GP0200010000--------		Women's Team	OFFICIAL		
374285	2234	TTEWTEAM--------------GP0300020000--------		Women's Team	OFFICIAL		
374271	2234	TTEWTEAM--------------GP0300010000--------		Women's Team	OFFICIAL		
372502	2234	TTEMSINGLES-----------FNL-000100----------		Men Singles	OFFICIAL		
372190	2234	TTEWSINGLES-----------FNL-000100----------		Women Singles	OFFICIAL		
371820	2234	TTEMSINGLES-----------SFNL000200----------		Men Singles	OFFICIAL		
371579	2234	TTEMSINGLES-----------SFNL000100----------		Men Singles	OFFICIAL		
371363	2234	TTEWSINGLES-----------SFNL000200----------		Women Singles	OFFICIAL		
371000	2234	TTEWSINGLES-----------SFNL000100----------		Women Singles	OFFICIAL		
370776	2234	TTEMDOUBLES-----------FNL-000100----------		Men Doubles	OFFICIAL		
370543	2234	TTEWDOUBLES-----------FNL-000100----------		Women Doubles	OFFICIAL		
370276	2234	TTEXDOUBLES-----------FNL-000100----------		Mixed Doubles	OFFICIAL		
370019	2234	TTEMDOUBLES-----------SFNL000200----------		Men Doubles	OFFICIAL		
369988	2234	TTEMDOUBLES-----------SFNL000100----------		Men Doubles	OFFICIAL		
369631	2234	TTEWDOUBLES-----------SFNL000100----------		Women Doubles	OFFICIAL		
369608	2234	TTEWDOUBLES-----------SFNL000200----------		Women Doubles	OFFICIAL		
369086	2234	TTEMSINGLES-----------QFNL000300----------		Men Singles	OFFICIAL		
369000	2234	TTEMSINGLES-----------QFNL000100----------		Men Singles	OFFICIAL		
368702	2234	TTEMSINGLES-----------QFNL000400----------		Men Singles	OFFICIAL		
368602	2234	TTEMSINGLES-----------QFNL000200----------		Men Singles	OFFICIAL		
368389	2234	TTEWSINGLES-----------QFNL000200----------		Women Singles	OFFICIAL		
368006	2234	TTEWSINGLES-----------QFNL000100----------		Women Singles	OFFICIAL		
367948	2234	TTEWSINGLES-----------QFNL000400----------		Women Singles	OFFICIAL		
367709	2234	TTEWSINGLES-----------QFNL000300----------		Women Singles	OFFICIAL		
367518	2234	TTEMDOUBLES-----------QFNL000300----------		Men Doubles	OFFICIAL		
367333	2234	TTEMDOUBLES-----------QFNL000400----------		Men Doubles	OFFICIAL		
367287	2234	TTEMDOUBLES-----------QFNL000200----------		Men Doubles	OFFICIAL		
366990	2234	TTEMDOUBLES-----------QFNL000100----------		Men Doubles	OFFICIAL		
366779	2234	TTEWDOUBLES-----------QFNL000300----------		Women Doubles	OFFICIAL		
366582	2234	TTEWDOUBLES-----------QFNL000400----------		Women Doubles	OFFICIAL		
366279	2234	TTEWDOUBLES-----------QFNL000200----------		Women Doubles	OFFICIAL		
366141	2234	TTEWDOUBLES-----------QFNL000100----------		Women Doubles	OFFICIAL		
365641	2234	TTEMDOUBLES-----------8FNL000700----------		Men Doubles	OFFICIAL		
365631	2234	TTEMDOUBLES-----------8FNL000200----------		Men Doubles	OFFICIAL		
365494	2234	TTEMDOUBLES-----------8FNL000600----------		Men Doubles	OFFICIAL		
365156	2234	TTEMDOUBLES-----------8FNL000300----------		Men Doubles	OFFICIAL		
364870	2234	TTEWDOUBLES-----------8FNL000700----------		Women Doubles	OFFICIAL		
364753	2234	TTEWDOUBLES-----------8FNL000200----------		Women Doubles	OFFICIAL		
364317	2234	TTEXDOUBLES-----------SFNL000200----------		Mixed Doubles	OFFICIAL		
364161	2234	TTEWDOUBLES-----------8FNL000300----------		Women Doubles	OFFICIAL		
364093	2234	TTEXDOUBLES-----------SFNL000100----------		Mixed Doubles	OFFICIAL		
363812	2234	TTEXDOUBLES-----------QFNL000300----------		Mixed Doubles	OFFICIAL		
363734	2234	TTEXDOUBLES-----------QFNL000400----------		Mixed Doubles	OFFICIAL		
363686	2234	TTEXDOUBLES-----------QFNL000100----------		Mixed Doubles	OFFICIAL		
363574	2234	TTEXDOUBLES-----------QFNL000200----------		Mixed Doubles	OFFICIAL		
363039	2234	TTEMSINGLES-----------8FNL000700----------		Men Singles	OFFICIAL		
362523	2234	TTEMSINGLES-----------8FNL000800----------		Men Singles	OFFICIAL		
362520	2234	TTEMSINGLES-----------8FNL000600----------		Men Singles	OFFICIAL		
362517	2234	TTEMSINGLES-----------8FNL000500----------		Men Singles	OFFICIAL		
362514	2234	TTEMSINGLES-----------8FNL000400----------		Men Singles	OFFICIAL		
362511	2234	TTEMSINGLES-----------8FNL000300----------		Men Singles	OFFICIAL		
362508	2234	TTEMSINGLES-----------8FNL000200----------		Men Singles	OFFICIAL		
