tournament_id	year	tournament_name	tournament_type	tournament_kind	organizer	matches	from	to
2813	2018	2018 - World Tour, Hungarian Open, Budapest (HUN)	World Tour / Pro Tour	--	HUN	563	2018-01-18	2018-01-21
2882	2018	2018 - ITTF Europe Top 16 Cup, Montreux (SUI)	Continental	--	SUI	32	2018-02-03	2018-02-04
2873	2018	2018 - Team World Cup, London (ENG)	World Cup	--	ENG	134	2018-02-22	2018-02-25
2893	2018	2018 - ITTF Africa Cup, Nairobi (KEN)	Continental	--	KEN	96	2018-03-01	2018-03-03
2900	2018	2018 - Latin American Championships, Havana (CUB)	Other events	--	CUB	236	2018-03-04	2018-03-09
2814	2018	2018 - World Tour, Qatar Open, Doha (QAT)	World Tour / Pro Tour	Platinum	QAT	339	2018-03-08	2018-03-11
2826	2018	2018 - ITTF Challenge Polish Open, Spala (POL)	Challenge	Challenge Series	POL	630	2018-03-14	2018-03-18
2891	2018	2018 - ITTF Oceania Championships, Gold Coast (AUS)	Continental	--	AUS	262	2018-03-15	2018-03-19
2815	2018	2018 - World Tour, German Open, Bremen (GER)	World Tour / Pro Tour	Platinum	GER	462	2018-03-23	2018-03-25
2827	2018	2018 - ITTF Challenge Spanish Open, Guadalajara (ESP)	Challenge	Challenge Series	ESP	430	2018-03-28	2018-04-01
2828	2018	2018 - ITTF Challenge Slovenian Open, Otocec (SLO)	Challenge	Challenge Series	SLO	576	2018-04-04	2018-04-08
2906	2018	2018 - Commonwealth Games, Gold Coast (AUS)	Multi sport events	--	AUS		2018-04-04	2018-04-15
2887	2018	2018 - ITTF Asian Cup, Yokohama (JPN)	Continental	--	JPN	73	2018-04-06	2018-04-08
2912	2018	2018 - Opatija Milenij Open, Opatija (CRO)	Other events	--	CRO	246	2018-04-06	2018-04-08
2829	2018	2018 - ITTF Challenge Croatia Open, Zagreb (CRO)	Challenge	Challenge Series	CRO	670	2018-04-10	2018-04-14
2876	2018	2018 - World Team Table Tennis Championships, Halmstad (SWE)	WTTC	--	SWE	1769	2018-04-29	2018-05-06
2830	2018	2018 - ITTF Challenge Thailand Open, Bangkok (THA)	Challenge	Challenge Series	THA	531	2018-05-16	2018-05-20
2902	2018	2018 - ITTF Oceania Cup, Port Vila (VAN)	Continental	--	VAN	36	2018-05-18	2018-05-19
2816	2018	2018 - World Tour, Hong Kong Open, Hong Kong (HKG)	World Tour / Pro Tour	--	HKG	301	2018-05-24	2018-05-27
2914	2018	2018 - Northern European Championships, Haapsalu (EST)	Other events	--	EST	152	2018-05-25	2018-05-27
2817	2018	2018 - World Tour, China Open, Shenzhen (CHN)	World Tour / Pro Tour	Platinum	CHN	278	2018-05-31	2018-06-03
2911	2018	2018 - South American Games, Cochabamba (BOL)	Multi sport events	--	BOL	259	2018-06-01	2018-06-08
2818	2018	2018 - World Tour, Japan Open, Kitakyushu (JPN)	World Tour / Pro Tour	--	JPN	221	2018-06-07	2018-06-10
2831	2018	2018 - ITTF Challenge DPR Korea Open, Pyongyang (PRK)	Challenge	Challenge Series	PRK	166	2018-06-13	2018-06-17
2896	2018	2018 - ITTF Panam Cup, Asuncion (PAR)	Continental	--	PAR	40	2018-06-15	2018-06-17
2922	2018	2018 - Mediterranean Games, Tarragona (ESP)	Multi sport events	--	ESP	279	2018-06-22	2018-07-01
2819	2018	2018 - World Tour, Korean Open, Daejeon (KOR)	World Tour / Pro Tour	Platinum	KOR	420	2018-07-19	2018-07-22
2920	2018	2018 - Central America and Caribbean Games, Baranquilla (COL)	Multi sport events	--	COL	299	2018-07-19	2018-07-24
2824	2018	2018 - World Tour, Australian Open, Geelong (AUS)	World Tour / Pro Tour	Platinum	AUS	232	2018-07-24	2018-07-29
2926	2018	2018 - Arab Table Tennis Championship, Cairo (EGY)	Other events	--	EGY	257	2018-07-30	2018-08-06
2832	2018	2018 - Seamaster Nigeria Open, Lagos (NGR)	Challenge	Challenge Series	NGR	333	2018-08-08	2018-08-12
2820	2018	2018 - World Tour, Bulgarian Open, Panagyurishte (BUL)	World Tour / Pro Tour	--	BUL	420	2018-08-16	2018-08-19
2802	2018	2018 - Asian Games, Jakarta (INA)	Continental Games	--	INA	393	2018-08-18	2018-09-02
2821	2018	2018 - World Tour, Czech Open, Olomouc (CZE)	World Tour / Pro Tour	--	CZE	469	2018-08-23	2018-08-26
2895	2018	2018 - ITTF African Championships, Port Louis (MRI)	Continental	--	MRI	360	2018-09-03	2018-09-09
2930	2018	2018 - Luxembourg Open, Luxembourg (LUX)	Other events	--	LUX	251	2018-09-05	2018-09-08
2885	2018	2018 - ITTF European Championships, Alicante (ESP)	Continental	--	ESP	557	2018-09-18	2018-09-23
2874	2018	2018 - Women's World Cup, Chengdu (CHN)	World Cup	--	CHN	28	2018-09-28	2018-09-30
2875	2018	2018 - Men's World Cup, Paris (FRA)	World Cup	--	FRA	28	2018-10-19	2018-10-21
2833	2018	2018 - ITTF Challenge Belgium Open, De Haan (BEL)	Challenge	Challenge Series	BEL	600	2018-10-23	2018-10-27
2823	2018	2018 - World Tour, Swedish Open, Stockholm (SWE)	World Tour / Pro Tour	--	SWE	447	2018-11-01	2018-11-04
2822	2018	2018 - World Tour, Austrian Open, Linz (AUT)	World Tour / Pro Tour	Platinum	AUT	375	2018-11-06	2018-11-11
2834	2018	2018 - ITTF Challenge Belarus Open, Minsk (BLR)	Challenge	Challenge Series	BLR	660	2018-11-14	2018-11-18
2897	2018	2018 - ITTF Pan American Championships, Santiago (CHI)	Continental	--	CHI	391	2018-11-20	2018-11-25
2928	2018	2018 - Finlandia Open, Lohja (FIN)	Other events	--	FIN	604	2018-12-06	2018-12-09
2825	2018	2018 - World Tour Grand Finals, Incheon (KOR)	World Tour / Pro Tour	Grand Finals	KOR	51	2018-12-13	2018-12-16
3032	2018	2018 - US Open, Florida, Orlando (USA)	Other events	--	USA	828	2018-12-17	2018-12-22
5001	2019	2019 - ITTF World Tour Hungarian Open, Budapest (HUN)	World Tour / Pro Tour	--	HUN	460	2019-01-15	2019-01-20
5058	2019	2019 - ITTF Pan America Cup, Guaynabo (PUR)	Continental	--	PUR	40	2019-02-01	2019-02-03
5059	2019	2019 - ITTF Europe Top 16 Cup, Montreux (SUI)	Continental	--	SUI	32	2019-02-02	2019-02-03
5014	2019	2019 - ITTF Challenge Plus Portugal Open, Lisbon (POR)	Challenge	--	POR	509	2019-02-13	2019-02-17
5015	2019	2019 - ITTF Challenge Plus Oman Open, Muscat (OMA)	Challenge	--	OMA	343	2019-03-20	2019-03-24
5016	2019	2019 - ITTF Challenge Spanish Open, Guadalajara (ESP)	Challenge	--	ESP	525	2019-03-20	2019-03-24
5002	2019	2019 - ITTF World Tour Platinum Qatar Open, Doha (QAT)	World Tour / Pro Tour	Platinum	QAT	337	2019-03-26	2019-03-31
5061	2019	2019 - ITTF ATTU Asian Cup, Yokohama (JPN)	Continental	--	JPN	75	2019-04-05	2019-04-07
5098	2019	2019 - Luxembourg Open, Luxembourg (LUX)	Other events	--	LUX		2019-04-10	2019-04-13
5000	2019	2019 - World Table Tennis Championships, Budapest (HUN)	WTTC	--	HUN	1065	2019-04-21	2019-04-28
5099	2019	2019 - Opatija Milenij Open, Opatija (CRO)	Other events	--	CRO		2019-04-26	2019-04-28
5017	2019	2019 - ITTF Challenge Serbia Open, Belgrade (SRB)	Challenge	--	SRB	430	2019-05-01	2019-05-05
5018	2019	2019 - ITTF Challenge Slovenia Open, Otocec (SLO)	Challenge	--	SLO	547	2019-05-08	2019-05-12
5019	2019	2019 - ITTF Challenge Croatia Open, Zagreb (CRO)	Challenge	--	CRO	562	2019-05-14	2019-05-18
5020	2019	2019 - ITTF Challenge Thailand Open, Bangkok (THA)	Challenge	--	THA	406	2019-05-22	2019-05-26
5063	2019	2019 - ITTF Oceania Cup, Bora Bora (PYF)	Continental	--	PYF	36	2019-05-25	2019-05-26
5108	2019	2019 - XVIII Games of the Small States of Europe, Budva (MNE)	Other events	--	MNE	50	2019-05-27	2019-06-01
5003	2019	2019 - ITTF World Tour Platinum China Open, Shenzhen (CHN)	World Tour / Pro Tour	Platinum	CHN	317	2019-05-28	2019-06-02
5004	2019	2019 - ITTF World Tour Hong Kong Open, Hong Kong (HKG)	World Tour / Pro Tour	--	HKG	303	2019-06-04	2019-06-09
5005	2019	2019 - ITTF World Tour Platinum Japan Open, Sapporo (JPN)	World Tour / Pro Tour	Platinum	JPN	249	2019-06-12	2019-06-16
5073	2019	2019 - European Games, Minsk (BLR)	Continental Games	--	BLR	210	2019-06-22	2019-06-29
5006	2019	2019 - ITTF World Tour Korea Open, Busan (KOR)	World Tour / Pro Tour	--	KOR	290	2019-07-02	2019-07-07
5136	2019	2019 - Universiade, Napoli (ITA)	Multi sport events	--	ITA	274	2019-07-03	2019-07-14
5232	2019	2019 - Pacific Games, Apla (SAM)	Multi sport events	--	SAM	116	2019-07-08	2019-07-13
5007	2019	2019 - ITTF World Tour Platinum Australian Open, Geelong (AUS)	World Tour / Pro Tour	Platinum	AUS	244	2019-07-09	2019-07-14
5137	2019	2019 - Commonwealth Table Tennis Championships, Cuttack (IND)	Other events	--	IND	183	2019-07-17	2019-07-22
5133	2019	2019 - T2 Diamond Malaysia, Johor Bahru (MAS)	T2 Diamond	--	MAS	32	2019-07-18	2019-07-21
5021	2019	2019 - ITTF Challenge Plus Pyongyang Open, Pyongyang (PRK)	Challenge	--	PRK	149	2019-07-24	2019-07-28
5074	2019	2019 - Pan American Games, Lima (PER)	Continental Games	--	PER	237	2019-07-26	2019-08-11
5066	2019	2019 - ITTF Africa Cup, Lagos (NGR)	Continental	--	NGR	149	2019-08-03	2019-08-05
5022	2019	2019 - ITTF Challenge Plus Nigeria Open, Lagos (NGR)	Challenge	--	NGR	309	2019-08-07	2019-08-11
5008	2019	2019 - ITTF World Tour Bulgarian Open, Panagyurishte (BUL)	World Tour / Pro Tour	--	BUL	404	2019-08-13	2019-08-18
5075	2019	2019 - All Africa Games, Rabat (MAR)	Continental Games	--	MAR	516	2019-08-20	2019-08-30
5009	2019	2019 - ITTF World Tour Czech Open, Olomouc (CZE)	World Tour / Pro Tour	--	CZE	464	2019-08-20	2019-08-25
5067	2019	2019 - ITTF European Championships, Nantes (FRA)	Continental	--	FRA	922	2019-09-03	2019-09-08
5069	2019	2019 - ITTF Pan American Championships (Singles), Asuncion (PAR)	Continental	--	PAR	90	2019-09-03	2019-09-08
5222	2019	2019 - ITTF Pan American Championships (Teams), Asuncion (PAR)	Continental	--	PAR	124	2019-09-03	2019-10-08
5068	2019	2019 - ITTF Asian Championships (Singles), Yogyakarta (INA)	Continental	--	INA	366	2019-09-15	2019-09-22
5223	2019	2019 - ITTF - Asian Championships (Teams), Yogyakarta (INA)	Continental	--	INA	432	2019-09-15	2019-09-22
5023	2019	2019 - ITTF Challenge Plus Paraguay Open, Asuncion (PAR)	Challenge	--	PAR	211	2019-09-25	2019-09-29
5010	2019	2019 - ITTF World Tour Swedish Open, Stockholm (SWE)	World Tour / Pro Tour	--	SWE	397	2019-10-01	2019-10-06
5226	2019	2019 - North American Team Qualification, Rockford (USA)	Olympic Qualification	--	USA	6	2019-10-05	2019-10-05
5011	2019	2019 - ITTF World Tour Platinum German Open, Bremen (GER)	World Tour / Pro Tour	Platinum	GER	426	2019-10-08	2019-10-13
5024	2019	2019 - ITTF Challenge Mexico Open, Cancun (MEX)	Challenge	--	MEX		2019-10-16	2019-10-20
5025	2019	2019 - ITTF Challenge Polish Open, Wladyslawowo (POL)	Challenge	--	POL	609	2019-10-16	2019-10-20
5070	2019	2019 - Women's World Cup, Chengdu (CHN)	World Cup	--	CHN	28	2019-10-18	2019-10-20
5157	2019	2019 - Latin American Team Qualification, Lima (PER)	Olympic Qualification	--	PER	41	2019-10-25	2019-10-27
5026	2019	2019 - ITTF Challenge Belarus Open, Minsk (BLR)	Challenge	--	BLR	618	2019-10-30	2019-11-03
5027	2019	2019 - ITTF Challenge Morocco Open, Agadir (MAR)	Challenge	--	MAR		2019-10-30	2019-11-03
5072	2019	2019 - World Team Cup, Tokyo (JPN)	World Cup	--	JPN	130	2019-11-06	2019-11-10
5012	2019	2019 - ITTF World Tour Platinum Austrian Open, Linz (AUT)	World Tour / Pro Tour	Platinum	AUT	422	2019-11-12	2019-11-17
5028	2019	2019 - ITTF Challenge Indonesia Open, Jogjakarta (INA)	Challenge	--	INA	262	2019-11-13	2019-11-17
5029	2019	2019 - ITTF Challenge Turkish Open, Antalya (TUR)	Challenge	--	TUR		2019-11-19	2019-11-23
5224	2019	2019 - T2 Diamond Singapore, Singapore (SGP)	T2 Diamond	--	SGP	32	2019-11-21	2019-11-24
5071	2019	2019 - Men's World Cup, Chengdu (CHN)	World Cup	--	CHN	28	2019-11-29	2019-12-01
