event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x
2484	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	1949	2021-09-19 11:36:34	117890		123680		4	1
2484	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	2786	2021-09-19 10:42:16	131140		114947		2	4
2484	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1767	2021-09-19 06:32:25	123680		107456		4	1
2484	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1146	2021-09-19 10:07:58	115118	113376	117890	137568	0	3
2484	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2190	2021-09-19 09:22:38	114947	118685	132907	133592	3	2
2484	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	1377	2021-09-19 04:51:57	117890		100302		4	0
2484	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1026	2021-09-18 13:42:45	136044	114947	200312	134643	3	0
2484	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1666	2021-09-18 11:50:30	132875	145015	132907	133592	1	3
2484	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	921	2021-09-18 12:30:15	115118	113376	116758	123221	3	0
2484	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2242	2021-09-19 04:02:10	131140		118685		4	1
2484	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	2038	2021-09-18 12:30:11	117350	123680	117890	137568	2	3
2484	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	2066	2021-09-19 05:40:39	119545		114947		1	4
2484	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1509	2021-09-18 10:40:10	200312	134643	114999	132875	3	1
2484	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2767	2021-09-18 09:20:46	117350		107456		2	4
2484	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	2497	2021-09-18 09:23:06	113376		123680		2	4
2484	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1981	2021-09-18 05:20:25	131140		133113		4	1
2484	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1151	2021-09-18 11:50:36	114947	118685	123228	133113	3	0
2484	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2763	2021-09-18 06:09:44	114947		132907		4	2
2484	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	924	2021-09-18 10:40:18	136044	114947	119546	200322	3	0
2484	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1653	2021-09-18 05:25:41	133592		118685		0	4
2484	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	2836	2021-09-18 08:30:27	136044		100302		3	4
2484	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	2134	2021-09-18 04:41:14	137409	117894	116758	123221	2	3
2484	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	5262	2021-09-18 06:09:49	131371		119545		3	4
2484	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1777	2021-09-18 08:30:45	117890		113914		4	0
2484	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1152	2021-09-18 04:40:31	115118	113376	114999	132870	3	0
2484	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1469	2021-09-18 04:40:19	117890	137568	113914	107456	3	1
2484	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	1206	2021-09-18 04:02:42	132907	133592	117891	132781	3	0
2484	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1134	2021-09-18 04:40:23	117350	123680	131150	134398	3	0
2484	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	1388	2021-09-18 04:00:06	133074	133124	123228	133113	0	3
2484	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	1324	2021-09-18 03:59:34	114947	118685	131371	131140	3	1
2484	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1187	2021-09-18 03:59:49	132875	145015	119545	133134	3	0
2484	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1442	2021-09-17 13:39:50	136044	114947	131150	133074	3	0
2484	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	2368	2021-09-17 13:40:17	133189	133124	114999	132875	2	3
2484	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1284	2021-09-17 13:40:25	137568	123228	200312	134643	0	3
2484	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1036	2021-09-17 13:39:50	121416	133134	119546	200322	0	3
2484	TTEMDOUBLES-----------8FNL000500----------	D	M	8FNL	000500	1717	2021-09-17 12:39:20	117350	123680	133189	123230	3	1
2484	TTEMDOUBLES-----------8FNL000100----------	D	M	8FNL	000100	1278	2021-09-17 11:59:55	115118	113376	200312	135623	3	1
2484	TTEWDOUBLES-----------8FNL000600----------	D	W	8FNL	000600	925	2021-09-17 11:19:54	133403	200353	119545	133134	0	3
2484	TTEMDOUBLES-----------8FNL000600----------	D	M	8FNL	000600	1748	2021-09-17 12:40:43	131997	134130	131150	134398	2	3
2484	TTEMDOUBLES-----------8FNL000300----------	D	M	8FNL	000300	672	2021-09-17 11:59:27	137409	117894	200354	145171	3	0
2484	TTEMDOUBLES-----------8FNL000200----------	D	M	8FNL	000200	887	2021-09-17 11:59:36	145473	133163	114999	132870	0	3
2484	TTEMDOUBLES-----------8FNL000400----------	D	M	8FNL	000400	1460	2021-09-17 11:59:50	119546	121416	116758	123221	1	3
2484	TTEWDOUBLES-----------8FNL000300----------	D	W	8FNL	000300	1502	2021-09-17 10:41:10	132900	134643	133074	133124	1	3
2484	TTEMDOUBLES-----------8FNL000800----------	D	M	8FNL	000800	784	2021-09-17 12:40:00	135077	133159	113914	107456	0	3
2484	TTEMDOUBLES-----------8FNL000700----------	D	M	8FNL	000700	1463	2021-09-17 12:39:23	117890	137568	134848	136044	3	1
2484	TTEMSINGLES-----------8FNL000700----------	S	M	8FNL	000700	2867	2021-09-17 09:53:47	131150		117350		3	4
2484	TTEWDOUBLES-----------8FNL000200----------	D	W	8FNL	000200	853	2021-09-17 10:45:52	200320	200321	131371	131140	0	3
2484	TTEWDOUBLES-----------8FNL000700----------	D	W	8FNL	000700	1041	2021-09-17 11:20:05	132907	133592	200322	200323	3	0
2484	TTEMSINGLES-----------8FNL000800----------	S	M	8FNL	000800	2782	2021-09-17 09:50:03	123386		107456		2	4
2484	TTEMSINGLES-----------8FNL000200----------	S	M	8FNL	000200	2707	2021-09-17 09:03:17	119546		113914		2	4
2484	TTEMSINGLES-----------8FNL000500----------	S	M	8FNL	000500	2947	2021-09-17 09:50:58	113376		123221		4	3
2484	TTEMSINGLES-----------8FNL000600----------	S	M	8FNL	000600	1590	2021-09-17 09:54:34	123680		134398		4	0
2484	TTEMSINGLES-----------8FNL000300----------	S	M	8FNL	000300	2884	2021-09-17 08:59:45	115118		136044		3	4
2484	TTEMSINGLES-----------8FNL000400----------	S	M	8FNL	000400	1315	2021-09-17 09:00:24	100302		116758		4	0
2484	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	000500	2383	2021-09-17 06:08:50	131171		131371		2	4
2484	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	000600	2099	2021-09-17 06:19:57	119545		132900		4	1
2484	TTEMSINGLES-----------8FNL000100----------	S	M	8FNL	000100	1318	2021-09-17 08:59:54	117890		131997		4	0
2484	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	000800	2780	2021-09-17 06:11:00	132907		123228		4	2
2484	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	000400	2458	2021-09-17 05:20:26	110686		118685		2	4
2484	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	000100	1871	2021-09-17 05:19:48	117891		131140		1	4
2484	TTEXDOUBLES-----------8FNL000800----------	D	X	8FNL	000800	2400	2021-09-17 10:40:00	123230	132781	114999	132875	1	3
2484	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	000200	3210	2021-09-17 05:20:49	133113		145015		4	3
2484	TTEXDOUBLES-----------8FNL000600----------	D	X	8FNL	000600	2400	2021-09-17 10:40:00	134398	200321	200312	134643	1	3
2484	TTEMSINGLES-----------RND2000500----------	S	M	RND2	000500	1890	2021-09-16 12:31:58	123680		137568		4	1
2484	TTEMSINGLES-----------RND2000800----------	S	M	RND2	000800	2234	2021-09-16 12:29:54	131997		123221		2	4
2484	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	000700	0	2021-09-17 06:10:00	123071		114947		0	4
2484	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1776	2021-09-17 05:22:07	133592		132875		4	1
2484	TTEXDOUBLES-----------8FNL000300----------	D	X	8FNL	000300	2400	2021-09-17 10:40:00	133159	200323	121416	133134	0	3
2484	TTEXDOUBLES-----------8FNL000700----------	D	X	8FNL	000700	2400	2021-09-17 10:40:00	133189	133124	117894	119545	3	0
2484	TTEMSINGLES-----------RND2000600----------	S	M	RND2	000600	2756	2021-09-16 12:40:21	134848		117350		2	4
2484	TTEMSINGLES-----------RND2000200----------	S	M	RND2	000200	2885	2021-09-16 11:46:57	134398		117894		4	2
2484	TTEXDOUBLES-----------8FNL000100----------	D	X	8FNL	000100	2400	2021-09-17 10:40:00	117890	117891	136044	114947	2	3
2484	TTEMSINGLES-----------RND2000700----------	S	M	RND2	000700	1818	2021-09-16 12:44:29	135623		136044		1	4
2484	TTEMSINGLES-----------RND2000300----------	S	M	RND2	000300	3144	2021-09-16 11:45:03	114999		119546		3	4
2484	TTEXDOUBLES-----------8FNL000400----------	D	X	8FNL	000400	2400	2021-09-17 10:40:00	119546	200322	135623	132900	3	0
2484	TTEWSINGLES-----------RND1000600----------	S	W	RND1	000600	2693	2021-09-16 11:01:35	133113		137577		4	2
2484	TTEMSINGLES-----------RND2000100----------	S	M	RND2	000100	1379	2021-09-16 11:45:29	123386		132870		4	0
2484	TTEWSINGLES-----------RND1000500----------	S	W	RND1	000500	1711	2021-09-16 10:58:58	132781		110686		0	4
2484	TTEXDOUBLES-----------8FNL000500----------	D	X	8FNL	000500	2400	2021-09-17 10:40:00	137568	123228	134848	137577	3	1
2484	TTEWSINGLES-----------RND1000400----------	S	W	RND1	000400	2264	2021-09-16 10:22:42	134643		119545		1	4
2484	TTEWSINGLES-----------RND1000200----------	S	W	RND1	000200	2153	2021-09-16 10:19:59	133124		132907		2	4
2484	TTEXDOUBLES-----------RND1000700----------	D	X	RND1	000700	885	2021-09-16 14:14:43	137409	200320	134848	137577	0	3
2484	TTEXDOUBLES-----------RND1000600----------	D	X	RND1	000600	1612	2021-09-16 14:15:34	135077	133113	136044	114947	1	3
2484	TTEXDOUBLES-----------RND1000100----------	D	X	RND1	000100	1180	2021-09-16 13:45:50	123230	132781	123386	133592	3	0
2484	TTEWSINGLES-----------RND1000700----------	S	W	RND1	000700	784	2021-09-16 11:04:56	200353		132875		0	4
2484	TTEWSINGLES-----------RND1000300----------	S	W	RND1	000300	1476	2021-09-16 10:16:46	114947		133074		4	0
2484	TTEMDOUBLES-----------RND1000300----------	D	M	RND1	000300	0	2021-09-16 20:45:00	100302	132081	145473	133163	0	3
2484	TTEMSINGLES-----------RND2000400----------	S	M	RND2	000400	1433	2021-09-16 11:50:56	121416		100302		0	4
2484	TTEMDOUBLES-----------RND1000200----------	D	M	RND1	000200	1800	2021-09-16 20:45:00	134848	136044	200312	135623	3	0
2484	TTEXDOUBLES-----------RND1000200----------	D	X	RND1	000200	661	2021-09-16 13:44:33	119546	200322	136402	133403	3	0
2484	TTEMDOUBLES-----------RND1000500----------	D	M	RND1	000500	1800	2021-09-16 20:45:00	119546	121416	112302	136402	3	0
2484	TTEXDOUBLES-----------8FNL000200----------	D	X	8FNL	000200	2400	2021-09-17 10:40:00	131150	133074	200354	200353	3	0
2484	TTEXDOUBLES-----------RND1000500----------	D	X	RND1	000500	0	2021-09-16 20:45:00	131997	133150	121416	133134	0	3
2484	TTEMSINGLES-----------RND1000300----------	S	M	RND1	000300	2774	2021-09-16 09:30:37	134398		123230		4	2
2484	TTEXDOUBLES-----------RND1000400----------	D	X	RND1	000400	0	2021-09-16 20:45:00	108574	132907	117894	119545	0	3
2484	TTEXDOUBLES-----------RND1000300----------	D	X	RND1	000300	920	2021-09-16 13:44:29	131150	133074	132870	145015	3	0
2484	TTEMSINGLES-----------RND1001500----------	S	M	RND1	001500	2121	2021-09-16 09:29:37	131997		137409		4	2
2484	TTEMSINGLES-----------RND1000600----------	S	M	RND1	000600	2073	2021-09-16 09:30:18	133159		119546		1	4
2484	TTEMSINGLES-----------RND1001400----------	S	M	RND1	001400	2630	2021-09-16 09:29:55	135077		136044		3	4
2484	TTEWSINGLES-----------GP07000300----------	S	W	GP07	000300	1939	2021-09-16 06:57:49	133074		137577		1	4
2484	TTEWSINGLES-----------GP05000300----------	S	W	GP05	000300	1138	2021-09-16 06:58:01	114947		200320		4	0
2484	TTEWSINGLES-----------GP06000300----------	S	W	GP06	000300	1156	2021-09-16 06:58:52	133113		200321		4	0
2484	TTEWSINGLES-----------GP04000300----------	S	W	GP04	000300	3289	2021-09-16 06:14:43	134643		200323		4	3
2484	TTEMSINGLES-----------GP01000300----------	S	M	GP01	000300	1843	2021-09-16 03:58:30	135077		121420		4	2
2484	TTEWSINGLES-----------GP07000200----------	S	W	GP07	000200	1150	2021-09-15 13:07:28	133403		133074		0	4
2484	TTEWSINGLES-----------GP01000200----------	S	W	GP01	000200	2571	2021-09-15 12:19:26	132875		133134		4	3
2484	TTEWSINGLES-----------GP02000200----------	S	W	GP02	000200	1456	2021-09-15 12:15:46	131371		133124		4	0
