event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
3083	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	2288	2025-01-11 10:30:00	137238	123120	135996	136711	2	3	11-6,8-11,11-9,7-11,7-11
3083	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1409	2025-01-11 13:00:00	131036		135049		0	4	6-11,3-11,8-11,3-11
3083	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	2057	2025-01-11 14:00:00	123980		112409		4	0	11-9,13-11,11-9,11-6
3083	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	1219	2025-01-10 16:20:00	133405	135935	119730	200907	3	0	11-2,12-10,11-9
3083	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2555	2025-01-10 16:55:00	123980	135996	131148	135888	2	3	13-15,11-4,8-11,13-11,6-11
3083	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	1585	2025-01-11 10:00:00	134442		112409		0	3	10-12,6-11,8-11
3083	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	1529	2025-01-11 09:20:00	135049		124591		3	0	12-10,11-8,11-4
3083	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	2178	2025-01-09 16:20:00	131879	123682	131148	135888	2	3	9-11,11-7,1-11,11-8,7-11
3083	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1782	2025-01-11 08:00:00	132132		131036		1	3	11-8,6-11,8-11,7-11
3083	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	2229	2025-01-09 16:20:00	133405	135935	119797	123120	3	2	11-6,11-4,10-12,10-12,11-3
3083	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1220	2025-01-09 14:00:00	137238	123120	123971	123977	3	0	11-7,11-7,11-7
3083	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	2332	2025-01-09 14:00:00	135996	136711	135050	132132	3	2	11-7,8-11,8-11,11-4,11-6
3083	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	1232	2025-01-11 08:40:00	123980		112092		3	0	11-9,11-3,11-5
3083	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1606	2025-01-09 16:55:00	123980	135996	123971	135367	3	0	11-8,11-9,12-10
3083	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1198	2025-01-09 16:20:00	119730	200907	119089	135373	3	0	11-8,11-9,11-2
3083	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	1200	2025-01-10 14:35:00	123980		135996		3	0	13-11,11-3,11-5
3083	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	2319	2025-01-09 10:55:00	119089	135373	133814	132701	3	2	11-7,6-11,11-8,6-11,11-9
3083	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	1935	2025-01-09 11:30:00	123971	135367	114848	123659	3	1	9-11,11-9,13-11,11-7
3083	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2289	2025-01-10 15:10:00	123120		135049		2	3	10-12,11-8,4-11,11-5,6-11
3083	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1238	2025-01-10 15:10:00	123977		131036		0	3	9-11,4-11,6-11
3083	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2821	2025-01-10 15:45:00	112409		114715		3	2	10-12,11-9,11-8,9-11,12-10
3083	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	2468	2025-01-10 15:45:00	112620		134442		2	3	10-12,11-7,10-12,11-7,11-13
3083	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1183	2025-01-09 10:55:00	123980	135996	104314	123680	3	0	11-4,11-8,11-6
3083	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	2073	2025-01-09 11:30:00	118851	118927	131148	135888	2	3	11-7,11-3,9-11,5-11,8-11
3083	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1001	2025-01-09 11:30:00	133113	109453	119730	200907	0	3	4-11,3-11,8-11
3083	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	1613	2025-01-10 14:00:00	132132		119797		3	0	11-9,11-9,12-10
3083	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	1526	2025-01-10 14:35:00	116820		112092		1	3	9-11,8-11,11-4,9-11
3083	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	2602	2025-01-10 14:00:00	119730		124591		2	3	12-10,11-6,7-11,9-11,6-11
3083	TTEMSINGLES-----------8FNL000700----------	S	M	8FNL	000700	3490	2025-01-10 09:45:00	112409		135019		3	2	14-12,9-11,14-12,8-11,13-11
3083	TTEMSINGLES-----------8FNL000300----------	S	M	8FNL	000300	1562	2025-01-10 08:35:00	116820		134718		3	0	11-8,11-7,12-10
3083	TTEWSINGLES-----------8FNL000100----------	S	W	8FNL	000100	3016	2025-01-10 08:35:00	123672		132132		2	3	4-11,11-9,6-11,12-10,7-11
3083	TTEMSINGLES-----------8FNL000100----------	S	M	8FNL	000100	2123	2025-01-10 08:00:00	123980		117113		3	1	11-8,8-11,11-8,11-5
3083	TTEMSINGLES-----------8FNL000200----------	S	M	8FNL	000200	1710	2025-01-10 08:35:00	135996		135888		3	1	11-9,11-7,9-11,11-8
3083	TTEMSINGLES-----------8FNL000400----------	S	M	8FNL	000400	1981	2025-01-10 08:35:00	111050		112092		2	3	9-11,11-7,4-11,11-7,6-11
3083	TTEMSINGLES-----------8FNL000500----------	S	M	8FNL	000500	2572	2025-01-10 09:10:00	112620		122777		3	2	9-11,11-5,7-11,11-9,11-9
3083	TTEWSINGLES-----------8FNL000600----------	S	W	8FNL	000600	1126	2025-01-10 09:10:00	136987		135049		0	3	5-11,7-11,4-11
3083	TTEWSINGLES-----------8FNL000400----------	S	W	8FNL	000400	1688	2025-01-10 09:45:00	131036		111072		3	1	11-2,10-12,11-8,11-4
3083	TTEMSINGLES-----------8FNL000800----------	S	M	8FNL	000800	1935	2025-01-10 09:45:00	137238		114715		1	3	8-11,11-9,7-11,9-11
3083	TTEWSINGLES-----------8FNL000700----------	S	W	8FNL	000700	1463	2025-01-10 09:10:00	111012		119730		0	3	4-11,9-11,9-11
3083	TTEWSINGLES-----------8FNL000500----------	S	W	8FNL	000500	1299	2025-01-10 08:00:00	123120		117332		3	0	11-9,11-8,11-5
3083	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	000200	1414	2025-01-10 08:00:00	122718		119797		0	3	9-11,8-11,4-11
3083	TTEWSINGLES-----------8FNL000300----------	S	W	8FNL	000300	1640	2025-01-10 09:10:00	123977		113701		3	0	11-6,11-5,11-7
3083	TTEMSINGLES-----------8FNL000600----------	S	M	8FNL	000600	2326	2025-01-10 09:45:00	134442		118927		3	2	11-6,7-11,11-7,5-11,12-10
3083	TTEWSINGLES-----------8FNL000800----------	S	W	8FNL	000800	1521	2025-01-10 08:00:00	124591		120972		3	0	11-3,16-14,11-7
3083	TTEMSINGLES-----------R32-001100----------	S	M	R32	001100	1231	2025-01-09 10:55:00	134442		104379		3	0	11-9,11-5,11-6
