event_id	doc	score_a	score_x	num
2724	TTEMSINGLES-----------FNL-000100----------	11	9	1
2724	TTEMSINGLES-----------FNL-000100----------	12	10	2
2724	TTEMSINGLES-----------FNL-000100----------	9	11	3
2724	TTEMSINGLES-----------FNL-000100----------	15	13	4
2724	TTEMSINGLES-----------R64-000700----------	11	9	1
2724	TTEMSINGLES-----------R64-000700----------	11	8	2
2724	TTEMSINGLES-----------R64-000700----------	7	11	3
2724	TTEMSINGLES-----------R64-000700----------	11	5	4
2724	TTEMDOUBLES-----------FNL-000100----------	4	11	1
2724	TTEMDOUBLES-----------FNL-000100----------	11	7	2
2724	TTEMDOUBLES-----------FNL-000100----------	11	8	3
2724	TTEMDOUBLES-----------FNL-000100----------	6	11	4
2724	TTEMDOUBLES-----------FNL-000100----------	11	5	5
2724	TTEWSINGLES-----------FNL-000100----------	11	13	1
2724	TTEWSINGLES-----------FNL-000100----------	13	11	2
2724	TTEWSINGLES-----------FNL-000100----------	2	11	3
2724	TTEWSINGLES-----------FNL-000100----------	9	11	4
2724	TTEXDOUBLES-----------FNL-000100----------	11	4	1
2724	TTEXDOUBLES-----------FNL-000100----------	11	9	2
2724	TTEXDOUBLES-----------FNL-000100----------	9	11	3
2724	TTEXDOUBLES-----------FNL-000100----------	8	11	4
2724	TTEXDOUBLES-----------FNL-000100----------	6	11	5
2724	TTEMSINGLES-----------SFNL000100----------	2	11	1
2724	TTEMSINGLES-----------SFNL000100----------	5	11	2
2724	TTEMSINGLES-----------SFNL000100----------	11	3	3
2724	TTEMSINGLES-----------SFNL000100----------	11	9	4
2724	TTEMSINGLES-----------SFNL000100----------	7	11	5
2724	TTEWSINGLES-----------SFNL000100----------	11	5	1
2724	TTEWSINGLES-----------SFNL000100----------	13	11	2
2724	TTEWSINGLES-----------SFNL000100----------	11	2	3
2724	TTEWDOUBLES-----------FNL-000100----------	11	8	1
2724	TTEWDOUBLES-----------FNL-000100----------	11	8	2
2724	TTEWDOUBLES-----------FNL-000100----------	11	6	3
2724	TTEWSINGLES-----------SFNL000200----------	6	11	1
2724	TTEWSINGLES-----------SFNL000200----------	7	11	2
2724	TTEWSINGLES-----------SFNL000200----------	4	11	3
2724	TTEMSINGLES-----------SFNL000200----------	11	4	1
2724	TTEMSINGLES-----------SFNL000200----------	11	2	2
2724	TTEMSINGLES-----------SFNL000200----------	11	8	3
2724	TTEMSINGLES-----------QFNL000200----------	11	7	1
2724	TTEMSINGLES-----------QFNL000200----------	8	11	2
2724	TTEMSINGLES-----------QFNL000200----------	13	11	3
2724	TTEMSINGLES-----------QFNL000200----------	11	7	4
2724	TTEMSINGLES-----------QFNL000400----------	11	6	1
2724	TTEMSINGLES-----------QFNL000400----------	11	6	2
2724	TTEMSINGLES-----------QFNL000400----------	11	8	3
2724	TTEWSINGLES-----------QFNL000200----------	8	11	1
2724	TTEWSINGLES-----------QFNL000200----------	11	3	2
2724	TTEWSINGLES-----------QFNL000200----------	8	11	3
2724	TTEWSINGLES-----------QFNL000200----------	6	11	4
2724	TTEWSINGLES-----------QFNL000400----------	14	12	1
2724	TTEWSINGLES-----------QFNL000400----------	11	8	2
2724	TTEWSINGLES-----------QFNL000400----------	11	9	3
2724	TTEMSINGLES-----------QFNL000300----------	5	11	1
2724	TTEMSINGLES-----------QFNL000300----------	5	11	2
2724	TTEMSINGLES-----------QFNL000300----------	5	11	3
2724	TTEMSINGLES-----------QFNL000100----------	11	4	1
2724	TTEMSINGLES-----------QFNL000100----------	11	3	2
2724	TTEMSINGLES-----------QFNL000100----------	11	13	3
2724	TTEMSINGLES-----------QFNL000100----------	13	15	4
2724	TTEMSINGLES-----------QFNL000100----------	6	11	5
2724	TTEWSINGLES-----------R32-000700----------	10	12	1
2724	TTEWSINGLES-----------R32-000700----------	8	11	2
2724	TTEWSINGLES-----------R32-000700----------	10	12	3
2724	TTEWSINGLES-----------QFNL000100----------	11	6	1
2724	TTEWSINGLES-----------QFNL000100----------	11	9	2
2724	TTEWSINGLES-----------QFNL000100----------	17	15	3
2724	TTEWSINGLES-----------QFNL000300----------	12	10	1
2724	TTEWSINGLES-----------QFNL000300----------	11	8	2
2724	TTEWSINGLES-----------QFNL000300----------	8	11	3
2724	TTEWSINGLES-----------QFNL000300----------	14	12	4
2724	TTEMDOUBLES-----------SFNL000200----------	11	7	1
2724	TTEMDOUBLES-----------SFNL000200----------	11	13	2
2724	TTEMDOUBLES-----------SFNL000200----------	11	8	3
2724	TTEMDOUBLES-----------SFNL000200----------	11	9	4
2724	TTEMDOUBLES-----------SFNL000100----------	9	11	1
2724	TTEMDOUBLES-----------SFNL000100----------	1	11	2
2724	TTEMDOUBLES-----------SFNL000100----------	3	11	3
2724	TTEWDOUBLES-----------SFNL000200----------	11	8	1
2724	TTEWDOUBLES-----------SFNL000200----------	10	12	2
2724	TTEWDOUBLES-----------SFNL000200----------	4	11	3
2724	TTEWDOUBLES-----------SFNL000200----------	11	6	4
2724	TTEWDOUBLES-----------SFNL000200----------	11	9	5
2724	TTEXDOUBLES-----------SFNL000100----------	8	11	1
2724	TTEXDOUBLES-----------SFNL000100----------	9	11	2
2724	TTEXDOUBLES-----------SFNL000100----------	11	13	3
2724	TTEWDOUBLES-----------SFNL000100----------	11	9	1
2724	TTEWDOUBLES-----------SFNL000100----------	11	5	2
2724	TTEWDOUBLES-----------SFNL000100----------	11	6	3
2724	TTEMSINGLES-----------8FNL000700----------	11	9	1
2724	TTEMSINGLES-----------8FNL000700----------	11	8	2
2724	TTEMSINGLES-----------8FNL000700----------	11	9	3
2724	TTEMSINGLES-----------8FNL000400----------	11	9	1
2724	TTEMSINGLES-----------8FNL000400----------	9	11	2
2724	TTEMSINGLES-----------8FNL000400----------	2	11	3
2724	TTEMSINGLES-----------8FNL000400----------	11	5	4
2724	TTEMSINGLES-----------8FNL000400----------	5	11	5
2724	TTEXDOUBLES-----------SFNL000200----------	11	4	1
2724	TTEXDOUBLES-----------SFNL000200----------	11	4	2
2724	TTEXDOUBLES-----------SFNL000200----------	11	9	3
2724	TTEMSINGLES-----------8FNL000600----------	11	6	1
2724	TTEMSINGLES-----------8FNL000600----------	11	9	2
2724	TTEMSINGLES-----------8FNL000600----------	8	11	3
2724	TTEMSINGLES-----------8FNL000600----------	11	5	4
2724	TTEMSINGLES-----------8FNL000800----------	5	11	1
2724	TTEMSINGLES-----------8FNL000800----------	5	11	2
2724	TTEMSINGLES-----------8FNL000800----------	11	9	3
2724	TTEMSINGLES-----------8FNL000800----------	11	5	4
2724	TTEMSINGLES-----------8FNL000800----------	11	7	5
2724	TTEMSINGLES-----------8FNL000300----------	11	8	1
2724	TTEMSINGLES-----------8FNL000300----------	5	11	2
2724	TTEMSINGLES-----------8FNL000300----------	11	9	3
2724	TTEMSINGLES-----------8FNL000300----------	11	13	4
2724	TTEMSINGLES-----------8FNL000300----------	11	9	5
2724	TTEWSINGLES-----------8FNL000700----------	14	12	1
2724	TTEWSINGLES-----------8FNL000700----------	8	11	2
2724	TTEWSINGLES-----------8FNL000700----------	11	5	3
2724	TTEWSINGLES-----------8FNL000700----------	11	7	4
2724	TTEWSINGLES-----------8FNL000500----------	8	11	1
2724	TTEWSINGLES-----------8FNL000500----------	11	7	2
2724	TTEWSINGLES-----------8FNL000500----------	11	6	3
2724	TTEWSINGLES-----------8FNL000500----------	11	8	4
2724	TTEMSINGLES-----------8FNL000200----------	11	7	1
2724	TTEMSINGLES-----------8FNL000200----------	8	11	2
2724	TTEMSINGLES-----------8FNL000200----------	9	11	3
2724	TTEMSINGLES-----------8FNL000200----------	11	7	4
2724	TTEMSINGLES-----------8FNL000200----------	11	7	5
2724	TTEMSINGLES-----------8FNL000100----------	11	6	1
2724	TTEMSINGLES-----------8FNL000100----------	11	9	2
2724	TTEMSINGLES-----------8FNL000100----------	4	11	3
2724	TTEMSINGLES-----------8FNL000100----------	13	11	4
2724	TTEWDOUBLES-----------QFNL000300----------	13	11	1
2724	TTEWDOUBLES-----------QFNL000300----------	11	7	2
2724	TTEWDOUBLES-----------QFNL000300----------	9	11	3
2724	TTEWDOUBLES-----------QFNL000300----------	10	12	4
2724	TTEWDOUBLES-----------QFNL000300----------	11	7	5
2724	TTEMDOUBLES-----------QFNL000400----------	7	11	1
2724	TTEMDOUBLES-----------QFNL000400----------	8	11	2
2724	TTEMDOUBLES-----------QFNL000400----------	11	7	3
2724	TTEMDOUBLES-----------QFNL000400----------	13	11	4
2724	TTEMDOUBLES-----------QFNL000400----------	13	11	5
2724	TTEWSINGLES-----------8FNL000300----------	5	11	1
2724	TTEWSINGLES-----------8FNL000300----------	6	11	2
2724	TTEWSINGLES-----------8FNL000300----------	10	12	3
2724	TTEMDOUBLES-----------QFNL000300----------	11	9	1
2724	TTEMDOUBLES-----------QFNL000300----------	11	9	2
2724	TTEMDOUBLES-----------QFNL000300----------	6	11	3
2724	TTEMDOUBLES-----------QFNL000300----------	11	13	4
2724	TTEMDOUBLES-----------QFNL000300----------	11	4	5
2724	TTEWSINGLES-----------8FNL000100----------	8	11	1
2724	TTEWSINGLES-----------8FNL000100----------	4	11	2
2724	TTEWSINGLES-----------8FNL000100----------	4	11	3
2724	TTEMSINGLES-----------8FNL000500----------	5	11	1
2724	TTEMSINGLES-----------8FNL000500----------	5	11	2
2724	TTEMSINGLES-----------8FNL000500----------	3	11	3
2724	TTEWSINGLES-----------8FNL000800----------	8	11	1
2724	TTEWSINGLES-----------8FNL000800----------	6	11	2
2724	TTEWSINGLES-----------8FNL000800----------	4	11	3
2724	TTEWSINGLES-----------8FNL000200----------	6	11	1
2724	TTEWSINGLES-----------8FNL000200----------	15	13	2
2724	TTEWSINGLES-----------8FNL000200----------	11	5	3
2724	TTEWSINGLES-----------8FNL000200----------	11	7	4
2724	TTEWDOUBLES-----------QFNL000200----------	11	8	1
2724	TTEWDOUBLES-----------QFNL000200----------	11	3	2
2724	TTEWDOUBLES-----------QFNL000200----------	11	9	3
2724	TTEWSINGLES-----------8FNL000400----------	11	6	1
2724	TTEWSINGLES-----------8FNL000400----------	9	11	2
2724	TTEWSINGLES-----------8FNL000400----------	4	11	3
2724	TTEWSINGLES-----------8FNL000400----------	8	11	4
2724	TTEWDOUBLES-----------QFNL000400----------	11	8	1
2724	TTEWDOUBLES-----------QFNL000400----------	5	11	2
2724	TTEWDOUBLES-----------QFNL000400----------	3	11	3
2724	TTEWDOUBLES-----------QFNL000400----------	9	11	4
2724	TTEMDOUBLES-----------QFNL000100----------	3	11	1
2724	TTEMDOUBLES-----------QFNL000100----------	8	11	2
2724	TTEMDOUBLES-----------QFNL000100----------	11	9	3
2724	TTEMDOUBLES-----------QFNL000100----------	6	11	4
2724	TTEWSINGLES-----------8FNL000600----------	11	4	1
2724	TTEWSINGLES-----------8FNL000600----------	11	8	2
2724	TTEWSINGLES-----------8FNL000600----------	12	10	3
2724	TTEMDOUBLES-----------QFNL000200----------	11	7	1
2724	TTEMDOUBLES-----------QFNL000200----------	11	4	2
2724	TTEMDOUBLES-----------QFNL000200----------	11	2	3
2724	TTEWDOUBLES-----------QFNL000100----------	11	13	1
2724	TTEWDOUBLES-----------QFNL000100----------	3	11	2
2724	TTEWDOUBLES-----------QFNL000100----------	11	13	3
2724	TTEMSINGLES-----------R32-000300----------	11	13	1
2724	TTEMSINGLES-----------R32-000300----------	11	8	2
2724	TTEMSINGLES-----------R32-000300----------	11	9	3
2724	TTEMSINGLES-----------R32-000300----------	11	5	4
2724	TTEMSINGLES-----------R32-000100----------	11	4	1
2724	TTEMSINGLES-----------R32-000100----------	7	11	2
2724	TTEMSINGLES-----------R32-000100----------	11	6	3
2724	TTEMSINGLES-----------R32-000100----------	8	11	4
2724	TTEMSINGLES-----------R32-000100----------	9	11	5
2724	TTEMSINGLES-----------R32-000400----------	9	11	1
2724	TTEMSINGLES-----------R32-000400----------	11	6	2
2724	TTEMSINGLES-----------R32-000400----------	11	4	3
2724	TTEMSINGLES-----------R32-000400----------	7	11	4
2724	TTEMSINGLES-----------R32-000400----------	5	11	5
2724	TTEMSINGLES-----------R32-001400----------	8	11	1
2724	TTEMSINGLES-----------R32-001400----------	6	11	2
