2026-06-27 12:37:10,396 - INFO - Script started: download-wtt-matches
2026-06-27 12:37:10,755 - INFO - Loaded 231 tournament records from TSV
2026-06-27 12:37:10,757 - INFO - Event 2345 already processed (directory exists: data/wtt_matches/2345), skipping
2026-06-27 12:37:10,757 - INFO - Event 2346 already processed (directory exists: data/wtt_matches/2346), skipping
2026-06-27 12:37:10,757 - INFO - Event 2410 already processed (directory exists: data/wtt_matches/2410), skipping
2026-06-27 12:37:10,757 - INFO - Event 2411 already processed (directory exists: data/wtt_matches/2411), skipping
2026-06-27 12:37:10,757 - INFO - Event 2479 already processed (directory exists: data/wtt_matches/2479), skipping
2026-06-27 12:37:10,757 - INFO - Event 2480 already processed (directory exists: data/wtt_matches/2480), skipping
2026-06-27 12:37:10,757 - INFO - Event 2484 already processed (directory exists: data/wtt_matches/2484), skipping
2026-06-27 12:37:10,757 - INFO - Event 2487 already processed (directory exists: data/wtt_matches/2487), skipping
2026-06-27 12:37:10,757 - INFO - Event 2489 already processed (directory exists: data/wtt_matches/2489), skipping
2026-06-27 12:37:10,757 - INFO - Event 2502 already processed (directory exists: data/wtt_matches/2502), skipping
2026-06-27 12:37:10,757 - INFO - Event 2503 already processed (directory exists: data/wtt_matches/2503), skipping
2026-06-27 12:37:10,757 - INFO - Event 2504 already processed (directory exists: data/wtt_matches/2504), skipping
2026-06-27 12:37:10,757 - INFO - Event 2510 already processed (directory exists: data/wtt_matches/2510), skipping
2026-06-27 12:37:10,757 - INFO - Event 2513 already processed (directory exists: data/wtt_matches/2513), skipping
2026-06-27 12:37:10,757 - INFO - Event 2516 already processed (directory exists: data/wtt_matches/2516), skipping
2026-06-27 12:37:10,757 - INFO - Event 2519 already processed (directory exists: data/wtt_matches/2519), skipping
2026-06-27 12:37:10,757 - INFO - Event 2521 already processed (directory exists: data/wtt_matches/2521), skipping
2026-06-27 12:37:10,758 - INFO - Event 2522 already processed (directory exists: data/wtt_matches/2522), skipping
2026-06-27 12:37:10,758 - INFO - Event 2531 already processed (directory exists: data/wtt_matches/2531), skipping
2026-06-27 12:37:10,758 - INFO - Event 2532 already processed (directory exists: data/wtt_matches/2532), skipping
2026-06-27 12:37:10,758 - INFO - Event 2533 already processed (directory exists: data/wtt_matches/2533), skipping
2026-06-27 12:37:10,758 - INFO - Event 2534 already processed (directory exists: data/wtt_matches/2534), skipping
2026-06-27 12:37:10,758 - INFO - Event 2535 already processed (directory exists: data/wtt_matches/2535), skipping
2026-06-27 12:37:10,758 - INFO - Event 2536 already processed (directory exists: data/wtt_matches/2536), skipping
2026-06-27 12:37:10,758 - INFO - Event 2539 already processed (directory exists: data/wtt_matches/2539), skipping
2026-06-27 12:37:10,758 - INFO - Event 2540 already processed (directory exists: data/wtt_matches/2540), skipping
2026-06-27 12:37:10,758 - INFO - Event 2541 already processed (directory exists: data/wtt_matches/2541), skipping
2026-06-27 12:37:10,758 - INFO - Event 2542 already processed (directory exists: data/wtt_matches/2542), skipping
2026-06-27 12:37:10,758 - INFO - Event 2568 already processed (directory exists: data/wtt_matches/2568), skipping
2026-06-27 12:37:10,758 - INFO - Event 2569 already processed (directory exists: data/wtt_matches/2569), skipping
2026-06-27 12:37:10,758 - INFO - Event 2570 already processed (directory exists: data/wtt_matches/2570), skipping
2026-06-27 12:37:10,758 - INFO - Event 2574 already processed (directory exists: data/wtt_matches/2574), skipping
2026-06-27 12:37:10,758 - INFO - Event 2589 already processed (directory exists: data/wtt_matches/2589), skipping
2026-06-27 12:37:10,758 - INFO - Event 2591 already processed (directory exists: data/wtt_matches/2591), skipping
2026-06-27 12:37:10,758 - INFO - Event 2592 already processed (directory exists: data/wtt_matches/2592), skipping
2026-06-27 12:37:10,758 - INFO - Event 2593 already processed (directory exists: data/wtt_matches/2593), skipping
2026-06-27 12:37:10,758 - INFO - Event 2605 already processed (directory exists: data/wtt_matches/2605), skipping
2026-06-27 12:37:10,759 - INFO - Event 2606 already processed (directory exists: data/wtt_matches/2606), skipping
2026-06-27 12:37:10,759 - INFO - Event 2619 already processed (directory exists: data/wtt_matches/2619), skipping
2026-06-27 12:37:10,759 - INFO - Event 2627 already processed (directory exists: data/wtt_matches/2627), skipping
2026-06-27 12:37:10,759 - INFO - Event 2630 already processed (directory exists: data/wtt_matches/2630), skipping
2026-06-27 12:37:10,759 - INFO - Event 2658 already processed (directory exists: data/wtt_matches/2658), skipping
2026-06-27 12:37:10,759 - INFO - Event 2629 already processed (directory exists: data/wtt_matches/2629), skipping
2026-06-27 12:37:10,759 - INFO - Event 2660 already processed (directory exists: data/wtt_matches/2660), skipping
2026-06-27 12:37:10,759 - INFO - Event 2691 already processed (directory exists: data/wtt_matches/2691), skipping
2026-06-27 12:37:10,759 - INFO - Event 2692 already processed (directory exists: data/wtt_matches/2692), skipping
2026-06-27 12:37:10,759 - INFO - Event 2693 already processed (directory exists: data/wtt_matches/2693), skipping
2026-06-27 12:37:10,759 - INFO - Event 2694 already processed (directory exists: data/wtt_matches/2694), skipping
2026-06-27 12:37:10,759 - INFO - Event 2695 already processed (directory exists: data/wtt_matches/2695), skipping
2026-06-27 12:37:10,759 - INFO - Event 2696 already processed (directory exists: data/wtt_matches/2696), skipping
2026-06-27 12:37:10,759 - INFO - Event 2697 already processed (directory exists: data/wtt_matches/2697), skipping
2026-06-27 12:37:10,759 - INFO - Event 2698 already processed (directory exists: data/wtt_matches/2698), skipping
2026-06-27 12:37:10,759 - INFO - Event 2699 already processed (directory exists: data/wtt_matches/2699), skipping
2026-06-27 12:37:10,759 - INFO - Event 2700 already processed (directory exists: data/wtt_matches/2700), skipping
2026-06-27 12:37:10,759 - INFO - Event 2701 already processed (directory exists: data/wtt_matches/2701), skipping
2026-06-27 12:37:10,759 - INFO - Event 2702 already processed (directory exists: data/wtt_matches/2702), skipping
2026-06-27 12:37:10,759 - INFO - Event 2703 already processed (directory exists: data/wtt_matches/2703), skipping
2026-06-27 12:37:10,759 - INFO - Event 2704 already processed (directory exists: data/wtt_matches/2704), skipping
2026-06-27 12:37:10,759 - INFO - Event 2705 already processed (directory exists: data/wtt_matches/2705), skipping
2026-06-27 12:37:10,760 - INFO - Event 2721 already processed (directory exists: data/wtt_matches/2721), skipping
2026-06-27 12:37:10,760 - INFO - Event 2722 already processed (directory exists: data/wtt_matches/2722), skipping
2026-06-27 12:37:10,760 - INFO - Event 2723 already processed (directory exists: data/wtt_matches/2723), skipping
2026-06-27 12:37:10,760 - INFO - Event 2724 already processed (directory exists: data/wtt_matches/2724), skipping
2026-06-27 12:37:10,760 - INFO - Event 2728 already processed (directory exists: data/wtt_matches/2728), skipping
2026-06-27 12:37:10,760 - INFO - Event 2732 already processed (directory exists: data/wtt_matches/2732), skipping
2026-06-27 12:37:10,760 - INFO - Event 2733 already processed (directory exists: data/wtt_matches/2733), skipping
2026-06-27 12:37:10,760 - INFO - Event 2734 already processed (directory exists: data/wtt_matches/2734), skipping
2026-06-27 12:37:10,760 - INFO - Event 2735 already processed (directory exists: data/wtt_matches/2735), skipping
2026-06-27 12:37:10,760 - INFO - Event 2737 already processed (directory exists: data/wtt_matches/2737), skipping
2026-06-27 12:37:10,760 - INFO - Event 2738 already processed (directory exists: data/wtt_matches/2738), skipping
2026-06-27 12:37:10,760 - INFO - Event 2739 already processed (directory exists: data/wtt_matches/2739), skipping
2026-06-27 12:37:10,760 - INFO - Event 2740 already processed (directory exists: data/wtt_matches/2740), skipping
2026-06-27 12:37:10,760 - INFO - Event 2742 already processed (directory exists: data/wtt_matches/2742), skipping
