rank	rating	conf	org	name
1	1993	64	CHN	SUN Yingsha
2	1913	32	CHN	WANG Chuqin
3	1866	72	CHN	CHEN Xingtong
4	1855	46	CHN	KUAI Man
5	1812	57	CHN	LIN Shidong
6	1760	83	JPN	HASHIMOTO Honoka
7	1723	57	TPE	LIN Yun-Ju
8	1721	36	CHN	LIN Gaoyuan
9	1712	41	CHN	WANG Manyu
10	1710	54	TPE	CHENG I-Ching
11	1683	69	CHN	WANG Yidi
12	1681	77	CHN	MA Long
13	1665	76	CHN	XIANG Peng
14	1662	54	JPN	HAYATA Hina
15	1651	44	JPN	TOGAMI Shunsuke
16	1633	71	JPN	ODO Satsuki
17	1624	36	KOR	SHIN Yubin
18	1619	96	CHN	NIU Guankai
19	1605	69	JPN	YOKOI Sakura
20	1598	44	JPN	HARIMOTO Tomokazu
21	1570	61	FRA	DORR Esteban
22	1557	52	CHN	CHEN Meng
23	1534	60	KOR	JANG Woojin
24	1531	82	CHN	QI Fei
25	1530	62	AUT	POLCANOVA Sofia
26	1528	25	KOR	PARK Ganghyeon
27	1524	82	CHN	XU Haidong
28	1521	74	CHN	HE Zhuojia
29	1509	62	CHN	QIAN Tianyi
30	1507	73	CHN	ZHOU Kai
31	1502	96	CHN	CHEN Yi
32	1497	74	JPN	YOSHIMURA Kazuhiro
33	1497	57	HKG	LEE Ho Ching
34	1491	47	KOR	CHO Seungmin
35	1485	57	KOR	CHO Daeseong
36	1483	55	KOR	LEE Sangsu
37	1482	38	POL	DYJAS Jakub
38	1480	78	CHN	SHI Xunyao
39	1479	69	ENG	WALKER Samuel
40	1466	47	FRA	LEBRUN Felix
41	1458	68	USA	WANG Amy
42	1458	54	ROU	IONESCU Ovidiu
43	1458	61	CHN	LIANG Jingkun
44	1457	91	IRI	FARAJI Benyamin
45	1456	58	CUB	CAMPOS Jorge
46	1451	33	KOR	AN Jaehyun
47	1450	78	CHN	CAO Wei
48	1450	54	FRA	YUAN Jia Nan
49	1448	38	FRA	LEBRUN Alexis
50	1448	56	SWE	FALCK Mattias
51	1443	39	HKG	DOO Hoi Kem
52	1442	39	JPN	NAGASAKI Miyu
53	1440	87	GER	OVTCHAROV Dimitrij
54	1437	77	CHN	XU Yingbin
55	1436	60	JPN	HARIMOTO Miwa
56	1423	61	JPN	KIHARA Miyuu
57	1416	43	KOR	JEON Jihee
58	1408	80	GER	WALTHER Ricardo
59	1389	90	MDA	URSU Vladislav
60	1389	61	SWE	MOREGARD Truls
61	1388	31	HKG	ZHU Chengzhu
62	1385	88	TPE	HUANG Yi-Hua
63	1384	64	JPN	SHINOZUKA Hiroto
64	1380	47	KOR	OH Junsung
65	1374	99	GER	KAUFMANN Annett
66	1372	32	ESP	XIAO Maria
67	1372	36	IND	PAL Akash
68	1369	88	TPE	HUNG Jing-Kai
69	1369	88	TPE	LI Yan Jun
70	1368	90	CHN	FAN Zhendong
71	1366	33	LUX	NI Xia Lian
72	1363	99	JPN	OKANO Shunsuke
73	1360	42	IND	BATRA Manika
74	1356	89	CHN	WANG Tianyi
75	1355	41	SWE	KARLSSON Kristian
76	1350	35	KOR	LIM Jonghoon
77	1346	79	CHN	LIU Weishan
78	1345	65	JPN	MATSUSHIMA Sora
79	1341	56	CHN	YUAN Licen
80	1334	38	JPN	YOKOTANI Jo
81	1328	38	HKG	WONG Chun Ting
82	1327	84	ESP	DE LAS HERAS Rafael
83	1325	38	HKG	CHAN Baldwin
84	1325	58	GER	SHAN Xiaona
85	1322	49	ROU	DRAGOMAN Andreea
86	1319	51	KOR	JOO Cheonhui
87	1317	47	POL	KUBIK Maciej
88	1316	89	CHN	HAN Feier
89	1315	76	FRA	PORET Thibault
90	1311	58	CHI	BURGOS Nicolas
91	1309	79	FRA	BARDET Lilian
92	1309	95	USA	TANG Yao
93	1308	80	FRA	LEBESSON Emmanuel
94	1307	51	KOR	CHOI Hyojoo
95	1306	49	SWE	BERGSTROM Linda
96	1304	89	GRE	SGOUROPOULOS Ioannis
97	1302	54	GER	MITTELHAM Nina
98	1300	52	TPE	FENG Yi-Hsin
99	1297	45	FRA	PAVADE Prithika
100	1295	75	IND	DAS Priyadarshini
