rank	rating	conf	org	name	wttrank	wttdiff
1	2100	67	CHN	WANG Chuqin	1	0
2	2019	74	CHN	FAN Zhendong	2	0
3	1954	62	CHN	LIANG Jingkun	3	0
4	1917	70	CHN	MA Long	4	0
5	1873	69	CHN	LIN Gaoyuan	7	2
6	1870	51	BRA	CALDERANO Hugo	6	0
7	1847	55	FRA	LEBRUN Felix	5	-2
8	1832	65	CHN	LIN Shidong	12	4
9	1823	86	CHN	ZHOU Qihao	47	38
10	1801	61	TPE	LIN Yun-Ju	8	-2
11	1799	55	JPN	HARIMOTO Tomokazu	11	0
12	1784	57	GER	QIU Dang	10	-2
13	1760	81	GER	BOLL Timo	23	10
14	1747	56	GER	OVTCHAROV Dimitrij	14	0
15	1739	65	SWE	MOREGARD Truls	21	6
16	1736	58	FRA	LEBRUN Alexis	17	1
17	1715	56	GER	FRANZISKA Patrick	9	-8
18	1714	51	KOR	CHO Daeseong	20	2
19	1701	60	KOR	JANG Woojin	13	-6
20	1695	58	JPN	TOGAMI Shunsuke	15	-5
21	1694	77	JPN	YOSHIMURA Maharu	35	14
22	1689	67	GER	MENGEL Steffen	41	19
23	1685	98	CHN	ZHOU Kai	134	111
24	1683	69	JPN	TANAKA Yuta	51	27
25	1681	90	KOR	PARK Gyuhyeon	131	106
26	1679	96	CHN	XIANG Peng	42	16
27	1676	61	KOR	LIM Jonghoon	30	3
28	1664	71	SWE	FALCK Mattias	29	1
29	1657	44	KOR	AN Jaehyun	24	-5
30	1650	68	JPN	MATSUSHIMA Sora	31	1
31	1650	98	USA	JHA Kanak	115	84
32	1648	62	DEN	GROTH Jonathan	25	-7
33	1641	66	NGR	ARUNA Quadri	16	-17
34	1641	72	KOR	CHO Seungmin	70	36
35	1631	89	USA	MA Jinbao	66	31
36	1631	50	GER	DUDA Benedikt	27	-9
37	1630	94	CHN	YUAN Licen	226	189
38	1628	58	KAZ	GERASSIMENKO Kirill	43	5
39	1628	58	JPN	SHINOZUKA Hiroto	49	10
40	1624	62	SWE	KALLBERG Anton	26	-14
41	1614	63	SLO	JORGIC Darko	19	-22
42	1601	50	TPE	CHUANG Chih-Yuan	38	-4
43	1592	67	IRI	ALAMIYAN Noshad	52	9
44	1592	60	CRO	PUCAR Tomislav	56	12
45	1591	60	FRA	GAUZY Simon	28	-17
46	1583	82	GRE	GIONIS Panagiotis	104	58
47	1581	65	DEN	LIND Anders	62	15
48	1578	51	ESP	ROBLES Alvaro	34	-14
49	1576	93	JPN	YOSHIYAMA Ryoichi	106	57
50	1576	58	TPE	FENG Yi-Hsin	60	10
51	1571	70	POR	FREITAS Marcos	18	-33
52	1568	52	TPE	KAO Cheng-Jui	33	-19
53	1567	62	GER	WALTHER Ricardo	54	1
54	1562	78	FRA	CASSIN Alexandre	109	55
55	1559	60	KOR	LEE Sangsu	32	-23
56	1554	78	KOR	KANG Dongsoo	127	71
57	1553	73	GER	FILUS Ruwen	80	23
58	1546	95	SWE	RANEFUR Elias	145	87
59	1542	76	JPN	OIKAWA Mizuki	96	37
60	1542	56	BEL	ALLEGRO Martin	78	18
61	1540	55	POR	GERALDO Joao	72	11
62	1538	57	FRA	ROLLAND Jules	65	3
63	1536	69	HKG	WONG Chun Ting	53	-10
64	1531	66	FRA	BARDET Lilian	82	18
65	1530	69	EGY	ASSAR Omar	22	-43
66	1525	57	SWE	KARLSSON Kristian	55	-11
67	1525	70	ENG	PITCHFORD Liam	40	-27
68	1520	72	POL	DYJAS Jakub	99	31
69	1519	65	KOR	OH Junsung	50	-19
70	1519	67	ROU	IONESCU Ovidiu	45	-25
71	1518	66	SVK	WANG Yang	69	-2
72	1517	56	BEL	NUYTINCK Cedric	89	17
73	1510	80	CRO	KOJIC Frane	129	56
74	1510	58	IND	THAKKAR Manav Vikash	59	-15
75	1506	62	POR	APOLONIA Tiago	67	-8
76	1504	63	CZE	JANCARIK Lubomir	119	43
77	1503	71	FRA	AKKUZU Can	122	45
78	1502	57	SVK	PISTEJ Lubomir	107	29
79	1501	58	LUX	MLADENOVIC Luka	88	9
80	1497	86	HUN	MAJOROS Bence	184	104
81	1497	62	SGP	QUEK Izaac	85	4
82	1497	95	TPE	CHEN Chien-An	206	124
83	1496	99	EGY	EL-BEIALI Mohamed	48	-35
84	1496	70	POR	MONTEIRO Joao	71	-13
85	1492	75	IND	ACHANTA Sharath Kamal	39	-46
86	1488	90	POL	KULCZYCKI Samuel	154	68
87	1488	64	FIN	OLAH Benedek	105	18
88	1488	82	ARG	CIFUENTES Horacio	108	20
89	1487	75	ENG	DRINKHALL Paul	135	46
90	1484	58	IND	DESAI Harmeet	84	-6
91	1482	68	AUT	GARDOS Robert	110	19
92	1478	72	CRO	GACINA Andrej	64	-28
93	1475	68	HKG	LAM Siu Hang	91	-2
94	1474	69	BEL	RASSENFOSSE Adrien	144	50
95	1473	91	ROU	SIPOS Rares	217	122
96	1473	87	ROU	IONESCU Eduard	73	-23
97	1460	67	ITA	MUTTI Matteo	121	24
98	1460	68	TPE	LIAO Cheng-Ting	136	38
99	1457	64	IND	GNANASEKARAN Sathiyan	68	-31
100	1456	90	CRO	BAN Ivor	230	130
